topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
1,8,3528,3528,1408,3904,11,16,0.0001726,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.59984350981794
1,8,3528,3528,1408,3904,11,16,0.0001726,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.6128970019772275
1,8,3528,3528,1408,3904,11,16,0.0001726,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.650470259945063
1,8,3528,3528,1408,3904,11,16,0.0001726,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.718996524553569
1,8,3528,3528,1408,3904,11,16,0.0001726,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.8532614505031857
1,8,3528,3528,1408,3904,11,16,0.0002441,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.592115059204488
1,8,3528,3528,1408,3904,11,16,0.0002441,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.5919717520236265
1,8,3528,3528,1408,3904,11,16,0.0002441,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.6191857969868964
1,8,3528,3528,1408,3904,11,16,0.0002441,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.671568621527149
1,8,3528,3528,1408,3904,11,16,0.0002441,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.774459626865038
1,8,3528,3528,1408,3904,11,16,0.0003453,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.5939819625367373
1,8,3528,3528,1408,3904,11,16,0.0003453,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.584127061329176
1,8,3528,3528,1408,3904,11,16,0.0003453,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.5993634402660124
1,8,3528,3528,1408,3904,11,16,0.0003453,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.6384895027208666
1,8,3528,3528,1408,3904,11,16,0.0003453,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.721746786255356
1,8,3528,3528,1408,3904,11,16,0.0004883,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.6012353180509966
