topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
3,8,2888,8664,1408,3904,11,16,0.0001726,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.578343346236004
3,8,2888,8664,1408,3904,11,16,0.0001726,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.5958292557328075
3,8,2888,8664,1408,3904,11,16,0.0001726,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.634207076615874
3,8,2888,8664,1408,3904,11,16,0.0001726,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.70928514435973
3,8,2888,8664,1408,3904,11,16,0.0001726,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.8530858306579456
3,8,2888,8664,1408,3904,11,16,0.0002441,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.565453452336501
3,8,2888,8664,1408,3904,11,16,0.0002441,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.5727130494343937
3,8,2888,8664,1408,3904,11,16,0.0002441,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.599891980262603
3,8,2888,8664,1408,3904,11,16,0.0002441,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.6580758770567603
3,8,2888,8664,1408,3904,11,16,0.0002441,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.767012902205854
3,8,2888,8664,1408,3904,11,16,0.0003453,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.5631739692679307
3,8,2888,8664,1408,3904,11,16,0.0003453,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.561365975539942
3,8,2888,8664,1408,3904,11,16,0.0003453,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.582246324353946
3,8,2888,8664,1408,3904,11,16,0.0003453,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.623700086732829
3,8,2888,8664,1408,3904,11,16,0.0003453,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.708054595335418
3,8,2888,8664,1408,3904,11,16,0.0004883,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.564275427303632
3,8,2888,8664,1408,3904,11,16,0.0004883,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.565116188160053
3,8,2888,8664,1408,3904,11,16,0.0004883,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.5720766302710603
3,8,2888,8664,1408,3904,11,16,0.0004883,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.6063442345068686
3,8,2888,8664,1408,3904,11,16,0.0004883,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.6736292372306294
3,8,2888,8664,1408,3904,11,16,0.0006905,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.5865608001399285
3,8,2888,8664,1408,3904,11,16,0.0006905,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.577395289755181
3,8,2888,8664,1408,3904,11,16,0.0006905,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.58174001936835
3,8,2888,8664,1408,3904,11,16,0.0006905,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.605671038888416
3,8,2888,8664,1408,3904,11,16,0.0006905,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.668467164526853
3,8,2888,8664,1408,3904,11,16,0.0009766,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.612538080735804
3,8,2888,8664,1408,3904,11,16,0.0009766,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.5928972466683864
3,8,2888,8664,1408,3904,11,16,0.0009766,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.593553843933756
3,8,2888,8664,1408,3904,11,16,0.0009766,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.6159867524103046
3,8,2888,8664,1408,3904,11,16,0.0009766,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.6818463144695084
3,8,2888,8664,1408,3904,11,16,0.001381,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.6370944213499565
3,8,2888,8664,1408,3904,11,16,0.001381,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.620972939456006
3,8,2888,8664,1408,3904,11,16,0.001381,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.6120580130237854
3,8,2888,8664,1408,3904,11,16,0.001381,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.626022129489648
3,8,2888,8664,1408,3904,11,16,0.001381,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.6943353426216112
3,8,2888,8664,1408,3904,11,16,0.001953,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.6709768251807
3,8,2888,8664,1408,3904,11,16,0.001953,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.65559051626406
3,8,2888,8664,1408,3904,11,16,0.001953,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.6666790341750444
3,8,2888,8664,1408,3904,11,16,0.001953,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.672158827371549
3,8,2888,8664,1408,3904,11,16,0.001953,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.7380999921877107
3,8,2888,8664,1408,3904,11,16,0.002762,32,30517,1,2156188672,1241270272,8001269760,45056,2000000000,2.690910643274953
3,8,2888,8664,1408,3904,11,16,0.002762,64,15258,1,2156188672,1241270272,8001269760,45056,2000000000,2.700558349886645
3,8,2888,8664,1408,3904,11,16,0.002762,128,7629,1,2156188672,1241270272,8001269760,45056,2000000000,2.693655791770225
3,8,2888,8664,1408,3904,11,16,0.002762,256,3814,1,2156188672,1241270272,8001269760,45056,2000000000,2.743495613718811
3,8,2888,8664,1408,3904,11,16,0.002762,512,1907,1,2156188672,1241270272,8001269760,45056,2000000000,2.8205673951722416
3,8,2888,8664,1408,3904,11,16,0.0001726,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.440847737618432
3,8,2888,8664,1408,3904,11,16,0.0001726,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.447569652428762
