h,ffnh,numh,numl,lr,bs,ti,D,N,loss
960,9368,15,7,0.0003453,736,66342,100000000000,214663680,2.413517
960,9368,15,7,0.0009766,32,1525878,100000000000,214663680,2.432666
960,9368,15,7,0.001381,128,381469,100000000000,214663680,2.421673
960,9368,15,7,0.001381,2048,23841,100000000000,214663680,2.373371
960,9368,15,7,0.01105,1024,47683,100000000000,214663680,2.345163
960,9368,15,7,0.002762,736,66342,100000000000,214663680,2.358602
960,9368,15,7,0.0004883,736,66342,100000000000,214663680,2.402201
960,9368,15,7,0.0002441,256,190734,100000000000,214663680,2.361933
960,9368,15,7,0.003906,2048,23841,100000000000,214663680,2.347246
960,9368,15,7,0.002762,512,95367,100000000000,214663680,2.346096
960,9368,15,7,0.0006905,512,95367,100000000000,214663680,2.372171
960,9368,15,7,0.0006905,256,190734,100000000000,214663680,2.331722
960,9368,15,7,0.0003453,32,1525878,100000000000,214663680,2.433482
960,9368,15,7,0.003906,352,138716,100000000000,214663680,2.341194
960,9368,15,7,0.003906,736,66342,100000000000,214663680,2.357081
960,9368,15,7,0.001381,192,254313,100000000000,214663680,2.393257
960,9368,15,7,0.0006905,352,138716,100000000000,214663680,2.358972
960,9368,15,7,0.007812,512,95367,100000000000,214663680,2.352086
960,9368,15,7,0.0004883,512,95367,100000000000,214663680,2.381191
960,9368,15,7,0.0004883,352,138716,100000000000,214663680,2.367824
960,9368,15,7,0.007812,352,138716,100000000000,214663680,2.354422
960,9368,15,7,0.005524,2048,23841,100000000000,214663680,2.348586
960,9368,15,7,0.003906,192,254313,100000000000,214663680,2.398822
960,9368,15,7,0.0009766,736,66342,100000000000,214663680,2.380266
960,9368,15,7,0.003906,512,95367,100000000000,214663680,2.349219
960,9368,15,7,0.0003453,64,762939,100000000000,214663680,2.378493
960,9368,15,7,0.005524,128,381469,100000000000,214663680,2.44805
960,9368,15,7,0.007812,128,381469,100000000000,214663680,2.462305
960,9368,15,7,0.001381,64,762939,100000000000,214663680,2.37255
960,9368,15,7,0.01105,32,1525878,100000000000,214663680,2.552112
960,9368,15,7,0.0006905,2048,23841,100000000000,214663680,2.395864
960,9368,15,7,0.003906,64,762939,100000000000,214663680,2.404886
960,9368,15,7,0.007812,736,66342,100000000000,214663680,2.360298
960,9368,15,7,0.0002441,64,762939,100000000000,214663680,2.383864
960,9368,15,7,0.001953,32,1525878,100000000000,214663680,2.452338
960,9368,15,7,0.003906,32,1525878,100000000000,214663680,2.486813
960,9368,15,7,0.0004883,256,190734,100000000000,214663680,2.340528
960,9368,15,7,0.01105,128,381469,100000000000,214663680,2.488476
960,9368,15,7,0.001953,2048,23841,100000000000,214663680,2.363978
960,9368,15,7,0.0006905,192,254313,100000000000,214663680,2.400871
960,9368,15,7,0.0002441,512,95367,100000000000,214663680,2.40346
960,9368,15,7,0.0002441,192,254313,100000000000,214663680,2.427039
960,9368,15,7,0.002762,352,138716,100000000000,214663680,2.340949
960,9368,15,7,0.0004883,192,254313,100000000000,214663680,2.410149
960,9368,15,7,0.01105,256,190734,100000000000,214663680,2.357445
960,9368,15,7,0.007812,192,254313,100000000000,214663680,2.418105
960,9368,15,7,0.01105,64,762939,100000000000,214663680,2.503365
960,9368,15,7,0.0006905,736,66342,100000000000,214663680,2.390471
960,9368,15,7,0.005524,64,762939,100000000000,214663680,2.412967
960,9368,15,7,0.0003453,192,254313,100000000000,214663680,2.418899
960,9368,15,7,0.002762,1024,47683,100000000000,214663680,2.337647
960,9368,15,7,0.01105,2048,23841,100000000000,214663680,2.357582
960,9368,15,7,0.0004883,64,762939,100000000000,214663680,2.372163
960,9368,15,7,0.01105,192,254313,100000000000,214663680,2.435252
960,9368,15,7,0.007812,1024,47683,100000000000,214663680,2.32848
960,9368,15,7,0.0003453,256,190734,100000000000,214663680,2.351857
960,9368,15,7,0.002762,256,190734,100000000000,214663680,2.322484
960,9368,15,7,0.01105,736,66342,100000000000,214663680,2.36737
960,9368,15,7,0.001381,736,66342,100000000000,214663680,2.371432
960,9368,15,7,0.001381,352,138716,100000000000,214663680,2.344792
960,9368,15,7,0.01105,352,138716,100000000000,214663680,2.368677
960,9368,15,7,0.002762,64,762939,100000000000,214663680,2.391159
960,9368,15,7,0.0003453,2048,23841,100000000000,214663680,2.425806
960,9368,15,7,0.0004883,2048,23841,100000000000,214663680,2.409234
960,9368,15,7,0.005524,512,95367,100000000000,214663680,2.347962
960,9368,15,7,0.001953,512,95367,100000000000,214663680,2.349858
960,9368,15,7,0.0009766,512,95367,100000000000,214663680,2.362134
960,9368,15,7,0.001953,192,254313,100000000000,214663680,2.391704
960,9368,15,7,0.005524,352,138716,100000000000,214663680,2.345856
960,9368,15,7,0.0009766,64,762939,100000000000,214663680,2.36974
960,9368,15,7,0.001953,128,381469,100000000000,214663680,2.423271
960,9368,15,7,0.0002441,352,138716,100000000000,214663680,2.389953
960,9368,15,7,0.0009766,352,138716,100000000000,214663680,2.350474
960,9368,15,7,0.0003453,352,138716,100000000000,214663680,2.377572
960,9368,15,7,0.003906,1024,47683,100000000000,214663680,2.3304
960,9368,15,7,0.01105,512,95367,100000000000,214663680,2.362219
960,9368,15,7,0.007812,64,762939,100000000000,214663680,2.444991
960,9368,15,7,0.002762,192,254313,100000000000,214663680,2.393616
960,9368,15,7,0.007812,2048,23841,100000000000,214663680,2.349467
960,9368,15,7,0.001953,64,762939,100000000000,214663680,2.380816
960,9368,15,7,0.001381,512,95367,100000000000,214663680,2.354742
960,9368,15,7,0.0009766,128,381469,100000000000,214663680,2.42427
960,9368,15,7,0.001381,1024,47683,100000000000,214663680,2.34895
960,9368,15,7,0.0003453,128,381469,100000000000,214663680,2.43914
960,9368,15,7,0.005524,32,1525878,100000000000,214663680,2.525791
960,9368,15,7,0.007812,256,190734,100000000000,214663680,2.352373
960,9368,15,7,0.0004883,128,381469,100000000000,214663680,2.433877
960,9368,15,7,0.0009766,192,254313,100000000000,214663680,2.397099
960,9368,15,7,0.0002441,2048,23841,100000000000,214663680,2.445769
960,9368,15,7,0.0006905,1024,47683,100000000000,214663680,2.369479
960,9368,15,7,0.0004883,32,1525878,100000000000,214663680,2.428751
960,9368,15,7,0.0003453,1024,47683,100000000000,214663680,2.393665
960,9368,15,7,0.0009766,1024,47683,100000000000,214663680,2.357774
960,9368,15,7,0.0006905,32,1525878,100000000000,214663680,2.429279
960,9368,15,7,0.003906,128,381469,100000000000,214663680,2.435321
960,9368,15,7,0.001381,32,1525878,100000000000,214663680,2.441489
960,9368,15,7,0.005524,192,254313,100000000000,214663680,2.407685
960,9368,15,7,0.0002441,128,381469,100000000000,214663680,2.448428
960,9368,15,7,0.001381,256,190734,100000000000,214663680,2.322948
960,9368,15,7,0.0009766,256,190734,100000000000,214663680,2.327252
960,9368,15,7,0.001953,1024,47683,100000000000,214663680,2.343277
960,9368,15,7,0.0006905,64,762939,100000000000,214663680,2.370881
960,9368,15,7,0.007812,32,1525878,100000000000,214663680,2.554162
960,9368,15,7,0.001953,736,66342,100000000000,214663680,2.364721
960,9368,15,7,0.005524,1024,47683,100000000000,214663680,2.328834
960,9368,15,7,0.002762,128,381469,100000000000,214663680,2.42881
960,9368,15,7,0.001953,352,138716,100000000000,214663680,2.34214
960,9368,15,7,0.001953,256,190734,100000000000,214663680,2.322113
960,9368,15,7,0.0003453,512,95367,100000000000,214663680,2.391627
960,9368,15,7,0.0009766,2048,23841,100000000000,214663680,2.382764
960,9368,15,7,0.002762,32,1525878,100000000000,214663680,2.467844
960,9368,15,7,0.003906,256,190734,100000000000,214663680,2.325314
960,9368,15,7,0.0002441,736,66342,100000000000,214663680,2.425437
960,9368,15,7,0.005524,256,190734,100000000000,214663680,2.332844
960,9368,15,7,0.002762,2048,23841,100000000000,214663680,2.352728
960,9368,15,7,0.005524,736,66342,100000000000,214663680,2.359013
960,9368,15,7,0.0002441,32,1525878,100000000000,214663680,2.436425
960,9368,15,7,0.0002441,1024,47683,100000000000,214663680,2.407506
960,9368,15,7,0.0004883,1024,47683,100000000000,214663680,2.380701
960,9368,15,7,0.0006905,128,381469,100000000000,214663680,2.426921
960,9368,15,7,0.005524,256,7629,4000000000,214663680,2.752003
960,9368,15,7,0.0004883,128,15258,4000000000,214663680,2.700275
960,9368,15,7,0.01562,192,10172,4000000000,214663680,6.543977
960,9368,15,7,0.01562,32,61035,4000000000,214663680,6.457381
960,9368,15,7,0.0009766,1024,1907,4000000000,214663680,2.775475
960,9368,15,7,0.002762,256,7629,4000000000,214663680,2.689792
960,9368,15,7,0.003906,64,30517,4000000000,214663680,2.637723
960,9368,15,7,0.001381,64,30517,4000000000,214663680,2.635494
960,9368,15,7,0.01562,128,15258,4000000000,214663680,6.911527
