,farseer,chinchilla,rf
0,0.17694517427547257,0.008255282819554592,0.008306677439596143
1,0.05854658604196986,0.011819278059593168,0.007927112114514814
2,4.111710321970122,0.0119761607634534,0.00942482793145379
3,0.1739115049250694,0.013611227207181316,0.006045718611472542
4,1.1731331617794103,0.011320884770032024,0.011468176939864046
5,0.07050841303698102,0.01682839700538533,0.015366770712032879
6,0.990892906589736,0.018104930333489637,0.01245019801001108
7,5.443305642784798,0.010366876114953053,0.008697629013029147
8,0.6994205038585963,0.013455428165051235,0.009475036057184723
9,0.052844808548860506,0.008956350158630213,0.007392044493659559
10,0.06927403300163985,0.00912683725529908,0.00828248745949482
11,0.08510279437277266,0.012792199000511716,0.011247433256032509
12,4.087694324617797,0.009862854278001982,0.008936871742690705
13,0.07333644688908897,0.007826248750597238,0.00728084840878728
14,0.07667785723658188,0.00847364154332054,0.008234513340158829
15,0.5047151136996257,0.008910613927347155,0.007124801737644967
16,0.07867206264554327,0.014133814007891814,0.00987695942282707
17,0.9998783117347181,0.014326318571894068,0.008803803840570874
18,0.08705292958502915,0.010943480815958709,0.0074378574322746275
19,0.0851324083159686,0.011696572005682236,0.0104627623363923
20,0.5430006487946626,0.014183832117833842,0.008922788355227002
21,0.06999708175527598,0.014154255241103251,0.008520914683378218
22,0.4045564401598433,0.00930883060258515,0.009306413741654812
23,2.657174656798322,0.011221465952503635,0.0073376059949781195
24,1.234576122207651,0.01913384282080718,0.012233862540745722
25,1.2985218114621468,0.004465366094986707,0.0028384114839636477
26,0.023180025404700468,0.008582618147187252,0.005259508918510798
27,0.06478561419981704,0.002692322418110611,0.0030920389803668433
28,0.06675277178472942,0.007198312072718476,0.005808494318490802
29,0.018509777590746967,0.00942296315986568,0.0028586506169449113
30,0.048297870768927983,0.010729085280668179,0.003265098152199305
31,0.21139980843590944,0.01271842466914676,0.00332327891075138
32,0.26627934191282804,0.011387579396725668,0.00254699352320355
33,0.07663856690243709,0.0053175427286332394,0.0029533425403333365
34,0.06711519168302105,0.01209822029826218,0.008669120421609047
35,0.2957396375292768,0.0038590264356036003,0.003117784478048547
36,0.057593958676722616,0.008394284730910466,0.004410378774880242
37,0.06640539736400242,0.005945512389311504,0.003676479809377151
38,0.1685657415565814,0.0032333514413570904,0.002749873575859927
39,0.07814192523809277,0.007997094718349054,0.0038069134716448108
40,0.0783162951560819,0.011070963430290104,0.0031714966765173103
41,0.39203199191314925,0.009861484993022149,0.0035885253541024413
42,0.3063059933998515,0.004001406823012863,0.00329751475707776
43,0.12729153183900954,0.0062342857237477345,0.0035899202453142367
44,0.08247803654598411,0.00858556408657822,0.0023221978278183263
45,0.05687596964496044,0.009332009523223798,0.004319992534611926
46,0.06977002652733769,0.011509999985552482,0.0033786593739439288
47,0.07090641357300242,0.012759947486823426,0.002702165958645451
48,0.9635440603578659,0.013428694690685724,0.008506923677533937
49,0.068763103191789,0.010005828406084546,0.0037678087630030796
50,0.21256426159069555,0.19140246666820043,0.0671674029402519
51,98.60544547057543,0.20512389160864472,0.10265796430960378
52,0.187564752204598,0.1897880626959503,0.04663839679465656
53,0.2129650136546831,0.19239847215604405,0.046896131173625996
54,117.4037779037366,0.18443554156278033,0.06033819961430324
55,0.8827493260543302,0.18762559032280646,0.046288185511589704
56,0.4185594935881708,0.24587439966565797,0.09895007231689683
57,73.32575514274151,0.1801634683309104,0.049118727398748764
58,42.39667756293309,0.19140627174215696,0.04981485288508139
59,0.20986195467027763,0.20382453818616866,0.06734838243000854
60,3.490743062179999,0.030673532725873788,0.012050213055408
61,0.4531436438398526,0.01633883160907492,0.016421304613292227
62,1.5958737102934095,0.019892988385473973,0.005744651992330549
63,0.7382384011109336,0.030793391967304056,0.01756537970601022
64,1110.6994002348167,0.029850864204101327,0.012153568739751661
65,0.7887587567140939,0.018366595439575445,0.00525372736814701
66,0.41517296040061274,0.011886177450394077,0.016319373549364656
67,7.3826207626524365,0.029420166341330913,0.017362295258078385
