N,D,uD,loss
44000000.0,200000000.0,100000000.0,6.18997
44000000.0,400000000.0,100000000.0,5.648868
44000000.0,1500000000.0,100000000.0,4.387672
44000000.0,2700000000.0,100000000.0,4.113597
44000000.0,3900000000.0,100000000.0,3.988205
44000000.0,5900000000.0,100000000.0,3.89434
44000000.0,7500000000.0,100000000.0,3.854261
44000000.0,14000000000.0,100000000.0,3.807672
44000000.0,20000000000.0,100000000.0,3.92903
44000000.0,32000000000.0,100000000.0,3.89224
44000000.0,91000000000.0,100000000.0,3.8362
44000000.0,174000000000.0,100000000.0,3.812315
