N,D,uD,loss
2810000000.0,4000000000.0,4000000000.0,3.265024
2810000000.0,8000000000.0,4000000000.0,2.995093
2810000000.0,12000000000.0,4000000000.0,2.884387
2810000000.0,16000000000.0,4000000000.0,2.823208
2810000000.0,24000000000.0,4000000000.0,2.752407
2810000000.0,32000000000.0,4000000000.0,2.722962
2810000000.0,40000000000.0,4000000000.0,2.706547
2810000000.0,55000000000.0,11000000000.0,2.599277
2810000000.0,55000000000.0,11000000000.0,2.599763
2810000000.0,55000000000.0,11000000000.0,2.600254
2810000000.0,55000000000.0,11000000000.0,2.598042
2810000000.0,55000000000.0,14000000000.0,2.592292
2810000000.0,55000000000.0,14000000000.0,2.590478
2810000000.0,55000000000.0,14000000000.0,2.588968
2810000000.0,55000000000.0,14000000000.0,2.591426
2810000000.0,55000000000.0,18000000000.0,2.582283
2810000000.0,55000000000.0,18000000000.0,2.581189
2810000000.0,55000000000.0,18000000000.0,2.584074
2810000000.0,55000000000.0,18000000000.0,2.581949
2810000000.0,55000000000.0,1250000000.0,3.425332
2810000000.0,55000000000.0,1250000000.0,3.422794
2810000000.0,55000000000.0,1250000000.0,3.425154
2810000000.0,55000000000.0,1250000000.0,3.428524
2810000000.0,55000000000.0,28000000000.0,2.575713
2810000000.0,55000000000.0,28000000000.0,2.576707
2810000000.0,55000000000.0,28000000000.0,2.574265
2810000000.0,55000000000.0,28000000000.0,2.575176
2810000000.0,55000000000.0,4000000000.0,2.693317
2810000000.0,55000000000.0,4000000000.0,2.691274
2810000000.0,55000000000.0,4000000000.0,2.692641
2810000000.0,55000000000.0,4000000000.0,2.692532
2810000000.0,55000000000.0,55000000000.0,2.569702
2810000000.0,55000000000.0,55000000000.0,2.568221
2810000000.0,55000000000.0,55000000000.0,2.569587
2810000000.0,55000000000.0,55000000000.0,2.570589
2810000000.0,55000000000.0,9000000000.0,2.609228
2810000000.0,55000000000.0,9000000000.0,2.60509
2810000000.0,55000000000.0,9000000000.0,2.605155
2810000000.0,55000000000.0,9000000000.0,2.606114
2810000000.0,55000000000.0,1250000000.0,3.422766
2810000000.0,55000000000.0,4000000000.0,2.696432
2810000000.0,55000000000.0,9000000000.0,2.611045
2810000000.0,55000000000.0,11000000000.0,2.598793
2810000000.0,55000000000.0,14000000000.0,2.589427
2810000000.0,55000000000.0,18000000000.0,2.584592
2810000000.0,55000000000.0,28000000000.0,2.579361
2810000000.0,55000000000.0,55000000000.0,2.574117
2810000000.0,100000000.0,100000000.0,7.518863
2810000000.0,4800000000.0,4800000000.0,3.236253
2810000000.0,4800000000.0,1500000000.0,3.244249
2810000000.0,4800000000.0,400000000.0,3.378791
2810000000.0,4800000000.0,100000000.0,5.340819
2810000000.0,36000000000.0,36000000000.0,2.618932
2810000000.0,36000000000.0,12000000000.0,2.636968
2810000000.0,36000000000.0,1500000000.0,3.065092
2810000000.0,36000000000.0,400000000.0,6.548141
2810000000.0,36000000000.0,100000000.0,10.69564
2810000000.0,77000000000.0,1500000000.0,3.297776
