N,D,uD,loss
8670000000.0,178000000000.0,25000000000.0,2.358995
8670000000.0,178000000000.0,13000000000.0,2.451606
8670000000.0,178000000000.0,25000000000.0,2.376484
8670000000.0,178000000000.0,35000000000.0,2.360029
8670000000.0,178000000000.0,44000000000.0,2.351177
8670000000.0,178000000000.0,58000000000.0,2.348107
8670000000.0,178000000000.0,88000000000.0,2.337275
8670000000.0,178000000000.0,178000000000.0,2.336741
8670000000.0,12000000000.0,12000000000.0,3.140306
8670000000.0,12000000000.0,1500000000.0,3.063302
8670000000.0,12000000000.0,400000000.0,4.538278
8670000000.0,12000000000.0,100000000.0,7.385309
8670000000.0,20000000000.0,1500000000.0,3.084724
