hyper_id,step,loss_c4,loss_curation_corpus,loss_lambada,loss_pile,loss_validation,loss_wikitext103,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,total_parameter_count,dense_parameter_count,flops_per_step,model_size_label
0,0,10.748786796823032,10.777566903448413,10.879598308668076,10.919198926388223,10.769444681071239,10.747576009147727,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,10000,3.1519536979154146,2.4371719754675465,2.479351656095842,2.928632884094952,2.8755049167659514,2.979997180495293,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,20000,3.0378458029782083,2.2864840336422247,2.209813248766737,2.7951582157097845,2.752924002206564,2.8290283673501353,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,30000,2.987618753155731,2.2313687773442963,2.0903365045806908,2.710785924014334,2.697288873377538,2.7756457448974796,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,40000,2.959536061237207,2.195979942521683,2.0148167723749117,2.68773302892433,2.6653652083723522,2.737864381823593,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,50000,2.9366160322145016,2.1703173293987037,1.9945824524312896,2.62562100789267,2.642400594450224,2.714775771056218,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,60000,2.920518486571614,2.1638331815989473,1.9307875264270613,2.618774462300401,2.624046825742827,2.697012891402077,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,70000,2.9075831084248995,2.146983529922116,1.8481412966878084,2.600183597082543,2.610140023167348,2.682664745226422,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,80000,2.897067587238425,2.1557964913682635,1.9045278365045808,2.562573610328779,2.5958395566726526,2.6610485424727055,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,90000,2.8856485126990616,2.132234376828304,1.8299330514446794,2.557513036093336,2.585818734389189,2.6492066227032787,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,100000,2.8757761845511447,2.113512541631825,1.8147022551092318,2.532288183410611,2.5734813248669686,2.6417505991447503,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,110000,2.866598674442788,2.107622012996835,1.799894291754757,2.5154551497520314,2.5651612153099657,2.6258047336351247,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,120000,2.8597503566476723,2.0836945943554808,1.7254052149400987,2.499810992346941,2.553048721467727,2.6149966322582667,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,130000,2.849022706484977,2.089219818889076,1.7636275546159268,2.490504690288316,2.5447868942375944,2.6075719365298164,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,140000,2.840966827007846,2.0718222110601525,1.738107822410148,2.462226488414133,2.5343771788245406,2.5983302266568504,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,150000,2.8331076923192517,2.0628722605759817,1.7119274136715996,2.4513984633979735,2.5261522391430598,2.58683291301828,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,160000,2.82434598105159,2.0547442443199495,1.7329105003523608,2.4327949171554697,2.5168234272723122,2.5732679625945707,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,170000,2.8175690115750203,2.0472555102413574,1.74988548273432,2.419418972358748,2.507564947660995,2.563243056969659,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,180000,2.8088782979891485,2.049356008824377,1.7023255813953488,2.4069798533542155,2.49856777944433,2.5591704390595384,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,190000,2.8026205839805085,2.039629787124743,1.7058844256518675,2.3959509850619947,2.4911462013890966,2.5422847386475778,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,200000,2.795489333629872,2.0289903051716216,1.684223044397463,2.3876543341085266,2.484786296167472,2.536113156122241,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,210000,2.7900462677722744,2.019104262927627,1.7039288231148697,2.369975294948556,2.4779953968273953,2.527466675020755,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,220000,2.7856584995852467,2.014263983584147,1.6731677237491192,2.3591083814568155,2.472552220964876,2.5210444698547954,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,230000,2.780788562028644,2.016638460243213,1.653012684989429,2.346269749790099,2.4681411587136455,2.5185695712786456,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
0,240000,2.778351279673888,2.006866575530904,1.6483791402396053,2.3417739038522294,2.46482855847788,2.515969361382184,1,1536,12,12,128,1.0,1,Dense,42,0.5,368123904.0,368123904.0,556775937933312.0,370M
