h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1216,3240,19,19,0.00127,80,20529,-1,3363471360.0,336994944,2589496320,8.71e+18,336994944,496378496,2.520285
1216,3240,19,19,0.00241,256,51324,-1,26908557312.0,336994944,2589496320,6.97e+19,336994944,496378496,2.282039
1216,3240,19,19,0.00115,64,18145,-1,2378301440.0,336994944,2589496320,6.16e+18,336994944,496378496,2.661809
1216,3240,19,19,0.00299,376,69888,-1,53817114624.0,336994944,2589496320,1.39e+20,336994944,496378496,2.264611
1216,3240,19,19,0.00103,56,14664,-1,1681784832.0,336994944,2589496320,4.35e+18,336994944,496378496,2.671724
1216,3240,19,19,0.00458,832,126336,-1,215268000000.0,336994944,2589496320,5.57e+20,336994944,496378496,2.197198
1216,3240,19,19,0.00269,312,59555,-1,38054215680.0,336994944,2589496320,9.85e+19,336994944,496378496,2.298278
1216,3240,19,19,0.00175,144,32259,-1,9513566208.0,336994944,2589496320,2.46e+19,336994944,496378496,2.448587
1216,3240,19,19,0.00332,464,80092,-1,76109185024.0,336994944,2589496320,1.97e+20,336994944,496378496,2.23444
1216,3240,19,19,0.00142,96,24194,-1,4756733952.0,336994944,2589496320,1.23e+19,336994944,496378496,2.528478
1216,3240,19,19,0.00411,688,108031,-1,152218000000.0,336994944,2589496320,3.94e+20,336994944,496378496,2.189573
1216,3240,19,19,0.000925,40,14516,-1,1189150720.0,336994944,2589496320,3.08e+18,336994944,496378496,2.84212
1216,3240,19,19,0.00158,112,29328,-1,6727139328.0,336994944,2589496320,1.74e+19,336994944,496378496,2.45981
1216,3240,19,19,0.00217,208,44666,-1,19027001344.0,336994944,2589496320,4.93e+19,336994944,496378496,2.344809
1216,3240,19,19,0.0037,560,93850,-1,107635000000.0,336994944,2589496320,2.79e+20,336994944,496378496,2.229584
1216,3240,19,19,0.00195,176,37326,-1,13454082048.0,336994944,2589496320,3.48e+19,336994944,496378496,2.402924
1216,3240,19,19,0.00566,1216,172881,-1,430537000000.0,336994944,2589496320,1.11e+21,336994944,496378496,2.129381
1216,3240,19,19,0.00509,1024,145166,-1,304435000000.0,336994944,2589496320,7.88e+20,336994944,496378496,2.171014
