h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1920,5184,30,30,0.000899,256,51324,-1,26908557312.0,1338278400,9444556800,2.54e+20,1338278400,1589936640,2.129438
1920,5184,30,30,0.000474,80,20529,-1,3363471360.0,1338278400,9444556800,3.18e+19,1338278400,1589936640,2.393667
1920,5184,30,30,0.001,304,61122,-1,38054068224.0,1338278400,9444556800,3.59e+20,1338278400,1589936640,2.153499
1920,5184,30,30,0.000726,176,37326,-1,13454082048.0,1338278400,9444556800,1.27e+20,1338278400,1589936640,2.260736
1920,5184,30,30,0.000426,64,18145,-1,2378301440.0,1338278400,9444556800,2.25e+19,1338278400,1589936640,2.541768
1920,5184,30,30,0.000808,208,44666,-1,19027001344.0,1338278400,9444556800,1.8e+20,1338278400,1589936640,2.193144
1920,5184,30,30,0.000587,112,29328,-1,6727139328.0,1338278400,9444556800,6.35e+19,1338278400,1589936640,2.318745
1920,5184,30,30,0.000653,144,32259,-1,9513566208.0,1338278400,9444556800,8.99e+19,1338278400,1589936640,2.30991
1920,5184,30,30,0.000344,40,14516,-1,1189150720.0,1338278400,9444556800,1.12e+19,1338278400,1589936640,2.721033
1920,5184,30,30,0.00124,448,82952,-1,76108791808.0,1338278400,9444556800,7.19e+20,1338278400,1589936640,2.058237
1920,5184,30,30,0.00111,384,68432,-1,53817114624.0,1338278400,9444556800,5.08e+20,1338278400,1589936640,2.07334
1920,5184,30,30,0.000383,56,14664,-1,1681784832.0,1338278400,9444556800,1.59e+19,1338278400,1589936640,2.556095
1920,5184,30,30,0.000527,96,24194,-1,4756733952.0,1338278400,9444556800,4.49e+19,1338278400,1589936640,2.396233
1920,5184,30,30,0.00153,704,105575,-1,152217000000.0,1338278400,9444556800,1.44e+21,1338278400,1589936640,2.022212
1920,5184,30,30,0.0017,832,126336,-1,215268000000.0,1338278400,9444556800,2.03e+21,1338278400,1589936640,1.985747
1920,5184,30,30,0.00138,576,91243,-1,107635000000.0,1338278400,9444556800,1.02e+21,1338278400,1589936640,2.039185
1920,5184,30,30,0.00189,1024,145166,-1,304435000000.0,1338278400,9444556800,2.88e+21,1338278400,1589936640,1.961225
1920,5184,30,30,0.00211,1280,164237,-1,430537000000.0,1338278400,9444556800,4.07e+21,1338278400,1589936640,1.915664
