h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,loss
1280,3472,20,20,0.00107,72,19181,-1,2828353536.0,397772800,3015475200,8.53e+18,397772800,565544960,2.630004
1280,3472,20,20,0.00119,88,22194,-1,3999891456.0,397772800,3015475200,1.21e+19,397772800,565544960,2.553132
1280,3472,20,20,0.00133,104,26558,-1,5656641536.0,397772800,3015475200,1.71e+19,397772800,565544960,2.488071
1280,3472,20,20,0.00148,128,30517,-1,7999848448.0,397772800,3015475200,2.41e+19,397772800,565544960,2.462113
1280,3472,20,20,0.00164,152,36343,-1,11313430528.0,397772800,3015475200,3.41e+19,397772800,565544960,2.403317
1280,3472,20,20,0.00183,192,40690,-1,15999959040.0,397772800,3015475200,4.82e+19,397772800,565544960,2.356663
1280,3472,20,20,0.00203,232,47623,-1,22627401728.0,397772800,3015475200,6.82e+19,397772800,565544960,2.280682
1280,3472,20,20,0.00226,280,55803,-1,31999672320.0,397772800,3015475200,9.65e+19,397772800,565544960,2.271801
1280,3472,20,20,0.00251,344,64235,-1,45254328320.0,397772800,3015475200,1.36e+20,397772800,565544960,2.257758
1280,3472,20,20,0.0028,416,75120,-1,63999836160.0,397772800,3015475200,1.93e+20,397772800,565544960,2.228743
1280,3472,20,20,0.00311,512,86316,-1,90508886016.0,397772800,3015475200,2.73e+20,397772800,565544960,2.208365
1280,3472,20,20,0.00346,624,100160,-1,128000000000.0,397772800,3015475200,3.86e+20,397772800,565544960,2.187972
1280,3472,20,20,0.000963,56,17438,-1,1999929344.0,397772800,3015475200,6.03e+18,397772800,565544960,2.608667
1280,3472,20,20,0.00383,768,115088,-1,181018000000.0,397772800,3015475200,5.46e+20,397772800,565544960,2.150501
1280,3472,20,20,0.000862,48,14386,-1,1414201344.0,397772800,3015475200,4.26e+18,397772800,565544960,2.666385
1280,3472,20,20,0.00427,928,134698,-1,255999000000.0,397772800,3015475200,7.72e+20,397772800,565544960,2.142461
1280,3472,20,20,0.00475,1152,153451,-1,362036000000.0,397772800,3015475200,1.09e+21,397772800,565544960,2.125814
