topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,N,Na,M,kvcache,D,D/N,Na/N,loss,smooth loss
1,89,352,352,1408,3904,11,16,0.0002441,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.730726,2.7470672806187832
2,88,352,704,1408,3904,11,16,0.0002441,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.692849,2.709785124933639
1,8,3528,3528,1408,3904,11,16,0.0002441,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.655468,2.671568621527149
3,8,2888,8664,1408,3904,11,16,0.0002441,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.642489,2.6580758770567603
1,89,352,352,1408,3904,11,16,0.0002441,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.854747,2.857691337963915
2,88,352,704,1408,3904,11,16,0.0002441,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.823533,2.8273452028005086
1,8,3528,3528,1408,3904,11,16,0.0002441,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.77343,2.774459626865038
3,8,2888,8664,1408,3904,11,16,0.0002441,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.764828,2.767012902205854
1,89,352,352,1408,3904,11,16,0.0003453,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.715764,2.6757352065648243
2,88,352,704,1408,3904,11,16,0.0003453,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.682009,2.6378488739553494
1,8,3528,3528,1408,3904,11,16,0.0003453,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.638025,2.5939819625367373
3,8,2888,8664,1408,3904,11,16,0.0003453,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.608249,2.5631739692679307
1,89,352,352,1408,3904,11,16,0.0003453,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.595109,2.6633815077823657
2,88,352,704,1408,3904,11,16,0.0003453,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.558724,2.6258810045199352
1,8,3528,3528,1408,3904,11,16,0.0003453,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.510608,2.584127061329176
3,8,2888,8664,1408,3904,11,16,0.0003453,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.485697,2.561365975539942
1,89,352,352,1408,3904,11,16,0.0003453,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.668363,2.671517740960114
