h,ffnh,numh,numl,lr,bs,ti,D,N,D/N,loss,smooth loss
1024,9552,16,8,0.0004883,192,203450,80000000000,268304384,298.1688141182218,2.332388,2.330635125301733
960,9368,15,7,0.0006905,256,190734,100000000000,214663680,465.84499063837904,2.331722,2.3614372151469563
960,9368,15,7,0.0003453,32,1525878,100000000000,214663680,465.84499063837904,2.433482,2.410136487157416
1280,9472,10,10,0.001381,32,762939,50000000000,429260800,116.47930582061068,2.359758,2.341425826215076
960,9368,15,7,0.003906,352,138716,100000000000,214663680,465.84499063837904,2.341194,2.3467150747983263
1024,9552,16,8,0.0009766,2048,19073,80000000000,268304384,298.1688141182218,2.358494,2.3603196048833484
1280,9472,10,10,0.01105,64,381469,50000000000,429260800,116.47930582061068,2.517757,2.426248272007878
960,9368,15,7,0.003906,736,66342,100000000000,214663680,465.84499063837904,2.357081,2.3422741059613195
1280,9472,10,10,0.002762,2048,11920,50000000000,429260800,116.47930582061068,2.319001,2.3127788286138573
1024,9552,16,8,0.002762,1024,38146,80000000000,268304384,298.1688141182218,2.301595,2.3154630115161394
960,9368,15,7,0.001381,192,254313,100000000000,214663680,465.84499063837904,2.393257,2.354579460927984
1280,9472,10,10,0.0002441,512,47683,50000000000,429260800,116.47930582061068,2.317883,2.313004729579026
1024,9552,16,8,0.0006905,192,203450,80000000000,268304384,298.1688141182218,2.321939,2.3230862523924216
1280,9472,10,10,0.003906,1024,23841,50000000000,429260800,116.47930582061068,2.272371,2.280943551219101
960,9368,15,7,0.0006905,352,138716,100000000000,214663680,465.84499063837904,2.358972,2.3642792766895067
960,9368,15,7,0.007812,512,95367,100000000000,214663680,465.84499063837904,2.352086,2.3494301150240684
1280,9472,10,10,0.0004883,192,127156,50000000000,429260800,116.47930582061068,2.281528,2.2761476182743805
1280,9472,10,10,0.0002441,256,95367,50000000000,429260800,116.47930582061068,2.29826,2.2978879075979277
1024,9552,16,8,0.0006905,352,110973,80000000000,268304384,298.1688141182218,2.319066,2.326889875877714
1280,9472,10,10,0.003906,256,95367,50000000000,429260800,116.47930582061068,2.267441,2.263762027884543
960,9368,15,7,0.0004883,512,95367,100000000000,214663680,465.84499063837904,2.381191,2.3781761356770184
1024,9552,16,8,0.001381,352,110973,80000000000,268304384,298.1688141182218,2.302697,2.312469512609616
1024,9552,16,8,0.001381,512,76293,80000000000,268304384,298.1688141182218,2.304481,2.31608375020798
960,9368,15,7,0.0004883,352,138716,100000000000,214663680,465.84499063837904,2.367824,2.3721272288581146
1280,9472,10,10,0.001381,2048,11920,50000000000,429260800,116.47930582061068,2.313875,2.306798032469871
1024,9552,16,8,0.001381,128,305175,80000000000,268304384,298.1688141182218,2.343847,2.3197778610947686
960,9368,15,7,0.007812,352,138716,100000000000,214663680,465.84499063837904,2.354422,2.359829980909621
1024,9552,16,8,0.0003453,2048,19073,80000000000,268304384,298.1688141182218,2.402965,2.4043065777094954
960,9368,15,7,0.005524,2048,23841,100000000000,214663680,465.84499063837904,2.348586,2.356920624702917
1280,9472,10,10,0.0003453,512,47683,50000000000,429260800,116.47930582061068,2.304007,2.299321093341506
960,9368,15,7,0.003906,192,254313,100000000000,214663680,465.84499063837904,2.398822,2.360023059825179
960,9368,15,7,0.0009766,736,66342,100000000000,214663680,465.84499063837904,2.380266,2.365008412520753
1280,9472,10,10,0.0004883,32,762939,50000000000,429260800,116.47930582061068,2.339247,2.3180113133507807
1024,9552,16,8,0.001953,128,305175,80000000000,268304384,298.1688141182218,2.345885,2.3226548401680245
960,9368,15,7,0.003906,512,95367,100000000000,214663680,465.84499063837904,2.349219,2.3463578313704248
1280,9472,10,10,0.005524,64,381469,50000000000,429260800,116.47930582061068,2.451329,2.3634505603663296
1024,9552,16,8,0.0006905,512,76293,80000000000,268304384,298.1688141182218,2.322052,2.3334091715052625
1280,9472,10,10,0.005524,128,190734,50000000000,429260800,116.47930582061068,2.30591,2.3042890662192463
1280,9472,10,10,0.003906,192,127156,50000000000,429260800,116.47930582061068,2.284299,2.2715481940965225
960,9368,15,7,0.0003453,64,762939,100000000000,214663680,465.84499063837904,2.378493,2.380013986876808
1024,9552,16,8,0.0006905,32,1220703,80000000000,268304384,298.1688141182218,2.305035,2.376927324474491
1024,9552,16,8,0.0002441,2048,19073,80000000000,268304384,298.1688141182218,2.425176,2.4270214194906825
1024,9552,16,8,0.001953,1024,38146,80000000000,268304384,298.1688141182218,2.308038,2.320888451295172
960,9368,15,7,0.005524,128,381469,100000000000,214663680,465.84499063837904,2.44805,2.3863945187244533
1280,9472,10,10,0.0006905,736,33171,50000000000,429260800,116.47930582061068,2.29635,2.2866289161539206
1280,9472,10,10,0.0004883,352,69358,50000000000,429260800,116.47930582061068,2.290966,2.2823513992552504
1024,9552,16,8,0.007812,736,53074,80000000000,268304384,298.1688141182218,2.297729,2.308231810036287
1024,9552,16,8,0.001953,352,110973,80000000000,268304384,298.1688141182218,2.301741,2.311170352634748
960,9368,15,7,0.007812,128,381469,100000000000,214663680,465.84499063837904,2.462305,2.399498174907446
1280,9472,10,10,0.001381,256,95367,50000000000,429260800,116.47930582061068,2.262294,2.260117609229543
1280,9472,10,10,0.0003453,128,190734,50000000000,429260800,116.47930582061068,2.280056,2.2823429680594822
1024,9552,16,8,0.003906,2048,19073,80000000000,268304384,298.1688141182218,2.328963,2.330230268061466
1280,9472,10,10,0.002762,192,127156,50000000000,429260800,116.47930582061068,2.275622,2.264216164214292
1024,9552,16,8,0.0009766,352,110973,80000000000,268304384,298.1688141182218,2.311249,2.319547488464761
1024,9552,16,8,0.01105,2048,19073,80000000000,268304384,298.1688141182218,2.367356,2.3690214679324963
960,9368,15,7,0.001381,64,762939,100000000000,214663680,465.84499063837904,2.37255,2.376007011092981
1280,9472,10,10,0.0004883,512,47683,50000000000,429260800,116.47930582061068,2.292848,2.2889786080326493
1024,9552,16,8,0.0002441,64,610351,80000000000,268304384,298.1688141182218,2.361363,2.354903048153951
960,9368,15,7,0.01105,32,1525878,100000000000,214663680,465.84499063837904,2.552112,2.532804071823813
960,9368,15,7,0.0006905,2048,23841,100000000000,214663680,465.84499063837904,2.395864,2.403909365271511
1280,9472,10,10,0.0006905,192,127156,50000000000,429260800,116.47930582061068,2.276015,2.269377645570819
1280,9472,10,10,0.0003453,2048,11920,50000000000,429260800,116.47930582061068,2.361223,2.354583648325244
1024,9552,16,8,0.003906,256,152587,80000000000,268304384,298.1688141182218,2.308826,2.3149742679769227
960,9368,15,7,0.003906,64,762939,100000000000,214663680,465.84499063837904,2.404886,2.406381895619392
1024,9552,16,8,0.003906,128,305175,80000000000,268304384,298.1688141182218,2.364594,2.340630737239656
960,9368,15,7,0.007812,736,66342,100000000000,214663680,465.84499063837904,2.360298,2.346051504113463
1280,9472,10,10,0.0006905,64,381469,50000000000,429260800,116.47930582061068,2.375091,2.2853229532192563
960,9368,15,7,0.0002441,64,762939,100000000000,214663680,465.84499063837904,2.383864,2.38698560599479
960,9368,15,7,0.001953,32,1525878,100000000000,214663680,465.84499063837904,2.452338,2.4305214250147875
960,9368,15,7,0.003906,32,1525878,100000000000,214663680,465.84499063837904,2.486813,2.467442388510172
1280,9472,10,10,0.007812,1024,23841,50000000000,429260800,116.47930582061068,2.295517,2.3048148381313425
960,9368,15,7,0.0004883,256,190734,100000000000,214663680,465.84499063837904,2.340528,2.369734762671821
1280,9472,10,10,0.0004883,256,95367,50000000000,429260800,116.47930582061068,2.276793,2.2771395213925683
960,9368,15,7,0.01105,128,381469,100000000000,214663680,465.84499063837904,2.488476,2.428044637578453
960,9368,15,7,0.001953,2048,23841,100000000000,214663680,465.84499063837904,2.363978,2.372149247313339
960,9368,15,7,0.0006905,192,254313,100000000000,214663680,465.84499063837904,2.400871,2.3607361358060737
1280,9472,10,10,0.003906,128,190734,50000000000,429260800,116.47930582061068,2.288983,2.2872143523966475
960,9368,15,7,0.0002441,512,95367,100000000000,214663680,465.84499063837904,2.40346,2.4014129115043192
960,9368,15,7,0.0002441,192,254313,100000000000,214663680,465.84499063837904,2.427039,2.387399497234489
1280,9472,10,10,0.001381,352,69358,50000000000,429260800,116.47930582061068,2.271756,2.2625204413862106
1280,9472,10,10,0.0002441,352,69358,50000000000,429260800,116.47930582061068,2.313519,2.304359496863605
