h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,exp_name,D,N,D/N
1280,9472,10,10,0.003906,256,95367,2.267441,2.263762027884543,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.001381,2048,11920,2.313875,2.306798032469871,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0003453,512,47683,2.304007,2.299321093341506,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0004883,32,762939,2.339247,2.3180113133507807,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.005524,64,381469,2.451329,2.3634505603663296,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.005524,128,190734,2.30591,2.3042890662192463,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs128_ti190734_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.003906,192,127156,2.284299,2.2715481940965225,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0006905,736,33171,2.29635,2.2866289161539206,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0004883,352,69358,2.290966,2.2823513992552504,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs352_ti69358_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.001381,256,95367,2.262294,2.260117609229543,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0003453,128,190734,2.280056,2.2823429680594822,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs128_ti190734_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.002762,192,127156,2.275622,2.264216164214292,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.762e-03_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0004883,512,47683,2.292848,2.2889786080326493,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0006905,192,127156,2.276015,2.269377645570819,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0003453,2048,11920,2.361223,2.354583648325244,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0006905,64,381469,2.375091,2.2853229532192563,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.007812,1024,23841,2.295517,2.3048148381313425,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr7.812e-03_bs1024_ti23841_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.0004883,256,95367,2.276793,2.2771395213925683,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.003906,128,190734,2.288983,2.2872143523966475,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs128_ti190734_mlr1.00e-05,50000000000,429260800,116.47930582061068
1280,9472,10,10,0.001381,352,69358,2.271756,2.2625204413862106,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs352_ti69358_mlr1.00e-05,50000000000,429260800,116.47930582061068
