N,D,uD,loss
14100000.0,100000000.0,100000000.0,7.278144
14100000.0,200000000.0,100000000.0,6.664138
14100000.0,400000000.0,100000000.0,6.273184
14100000.0,800000000.0,100000000.0,5.816824
14100000.0,1500000000.0,100000000.0,5.364749
14100000.0,2700000000.0,100000000.0,4.992776
14100000.0,3900000000.0,100000000.0,4.741132
14100000.0,5900000000.0,100000000.0,4.546227
14100000.0,7500000000.0,100000000.0,4.472296
14100000.0,14000000000.0,100000000.0,4.383392
14100000.0,20000000000.0,100000000.0,4.51041
14100000.0,91000000000.0,100000000.0,4.396074
14100000.0,174000000000.0,100000000.0,4.359691
14100000.0,300000000000.0,100000000.0,4.36911
14100000.0,600000000000.0,100000000.0,4.331469
14100000.0,900000000000.0,100000000.0,4.304018
