N,D,uD,loss
4246500000.0,12000000000.0,12000000000.0,2.84889
4246500000.0,24000000000.0,12000000000.0,2.691483
4246500000.0,36000000000.0,12000000000.0,2.618343
4246500000.0,48000000000.0,12000000000.0,2.577519
4246500000.0,60000000000.0,12000000000.0,2.56039
4246500000.0,72000000000.0,12000000000.0,2.539524
4246500000.0,84100000000.0,2200000000.0,2.520537
4246500000.0,84000000000.0,12000000000.0,2.538173
4246500000.0,84000000000.0,12000000000.0,2.526042
4246500000.0,84000000000.0,12000000000.0,2.537281
4246500000.0,84000000000.0,12000000000.0,2.52779
4246500000.0,84000000000.0,17000000000.0,2.549558
4246500000.0,84000000000.0,17000000000.0,2.503345
4246500000.0,84000000000.0,17000000000.0,2.499933
4246500000.0,84000000000.0,17000000000.0,2.49604
4246500000.0,84000000000.0,1900000000.0,3.118388
4246500000.0,84000000000.0,1900000000.0,3.082603
4246500000.0,84000000000.0,1900000000.0,3.111291
4246500000.0,84000000000.0,1900000000.0,3.146578
4246500000.0,84000000000.0,21000000000.0,2.502885
4246500000.0,84000000000.0,21000000000.0,2.480593
4246500000.0,84000000000.0,21000000000.0,2.491781
4246500000.0,84000000000.0,21000000000.0,2.477816
4246500000.0,84000000000.0,28000000000.0,2.479697
4246500000.0,84000000000.0,28000000000.0,2.482804
4246500000.0,84000000000.0,28000000000.0,2.477427
4246500000.0,84000000000.0,28000000000.0,2.494708
4246500000.0,84000000000.0,42000000000.0,2.470463
4246500000.0,84000000000.0,42000000000.0,2.491261
4246500000.0,84000000000.0,42000000000.0,2.469242
4246500000.0,84000000000.0,42000000000.0,2.469873
4246500000.0,84000000000.0,84000000000.0,2.464149
4246500000.0,84000000000.0,84000000000.0,2.461136
4246500000.0,84000000000.0,84000000000.0,2.480773
4246500000.0,84000000000.0,84000000000.0,2.476263
4246500000.0,84000000000.0,6000000000.0,2.602034
4246500000.0,84000000000.0,6000000000.0,2.60431
4246500000.0,84000000000.0,6000000000.0,2.609
4246500000.0,84000000000.0,6000000000.0,2.614594
4246500000.0,84000000000.0,1900000000.0,3.276627
4246500000.0,84000000000.0,6000000000.0,2.63941
4246500000.0,84000000000.0,12000000000.0,2.526961
4246500000.0,84000000000.0,17000000000.0,2.48506
4246500000.0,84000000000.0,21000000000.0,2.471375
4246500000.0,84000000000.0,28000000000.0,2.467156
4246500000.0,84000000000.0,42000000000.0,2.470016
4246500000.0,84000000000.0,84000000000.0,2.45653
