N,D,uD,loss
82700000.0,1500000000.0,1500000000.0,4.36208
82700000.0,20000000000.0,20000000000.0,3.608018
82700000.0,20000000000.0,1500000000.0,3.618937
82700000.0,20000000000.0,400000000.0,3.651057
82700000.0,20000000000.0,100000000.0,3.790125
82700000.0,400000000.0,100000000.0,5.488318
82700000.0,1500000000.0,100000000.0,4.20696
82700000.0,2700000000.0,100000000.0,3.953894
82700000.0,3900000000.0,100000000.0,3.844048
82700000.0,5900000000.0,100000000.0,3.774708
82700000.0,7500000000.0,100000000.0,3.747734
82700000.0,14000000000.0,100000000.0,3.725231
82700000.0,32000000000.0,100000000.0,3.747091
82700000.0,60000000000.0,100000000.0,3.747091
82700000.0,91000000000.0,100000000.0,3.743505
82700000.0,174000000000.0,100000000.0,3.734349
82700000.0,300000000000.0,100000000.0,3.868704
