N,D,uD,loss
220500000.0,7500000000.0,7500000000.0,3.310159
220500000.0,7500000000.0,1500000000.0,3.325092
220500000.0,7500000000.0,400000000.0,3.374362
220500000.0,7500000000.0,100000000.0,3.848433
220500000.0,1500000000.0,100000000.0,3.932167
220500000.0,2700000000.0,100000000.0,3.752793
220500000.0,3900000000.0,100000000.0,3.721901
220500000.0,5900000000.0,100000000.0,3.78097
220500000.0,60000000000.0,60000000000.0,2.981407
220500000.0,60000000000.0,4800000000.0,2.993185
220500000.0,60000000000.0,1500000000.0,3.032319
220500000.0,60000000000.0,400000000.0,3.258704
220500000.0,3900000000.0,400000000.0,3.525297
220500000.0,32000000000.0,400000000.0,3.260515
220500000.0,91000000000.0,400000000.0,3.261209
220500000.0,174000000000.0,400000000.0,3.26072
220500000.0,300000000000.0,400000000.0,3.257426
220500000.0,600000000000.0,400000000.0,3.261908
220500000.0,300000000000.0,1500000000.0,2.958765
220500000.0,600000000000.0,1500000000.0,2.937761
