N,D,uD,loss
618700000.0,2700000000.0,2700000000.0,3.415532
618700000.0,2700000000.0,1500000000.0,3.409955
618700000.0,2700000000.0,400000000.0,3.449187
618700000.0,2700000000.0,100000000.0,3.829336
618700000.0,1500000000.0,100000000.0,3.784308
618700000.0,3900000000.0,100000000.0,4.152834
618700000.0,5900000000.0,100000000.0,4.668028
618700000.0,7500000000.0,100000000.0,5.001218
618700000.0,22000000000.0,22000000000.0,2.900172
618700000.0,22000000000.0,4800000000.0,2.912009
618700000.0,22000000000.0,1500000000.0,2.973545
618700000.0,22000000000.0,400000000.0,3.441785
618700000.0,22000000000.0,100000000.0,6.840158
618700000.0,60000000000.0,400000000.0,3.688865
618700000.0,91000000000.0,400000000.0,3.756154
