N,D,uD,loss
146500000.0,14000000000.0,14000000000.0,3.319729
146500000.0,14000000000.0,1500000000.0,3.334061
146500000.0,14000000000.0,400000000.0,3.390927
146500000.0,14000000000.0,100000000.0,3.801428
146500000.0,60000000000.0,400000000.0,3.34025
146500000.0,91000000000.0,400000000.0,3.311519
146500000.0,174000000000.0,400000000.0,3.277013
146500000.0,1500000000.0,100000000.0,4.033501
146500000.0,2700000000.0,100000000.0,3.80764
146500000.0,3900000000.0,100000000.0,3.732758
146500000.0,5900000000.0,100000000.0,3.718068
146500000.0,7500000000.0,100000000.0,3.735044
146500000.0,20000000000.0,100000000.0,3.756257
146500000.0,32000000000.0,100000000.0,3.793078
146500000.0,60000000000.0,100000000.0,3.846421
146500000.0,91000000000.0,100000000.0,3.862952
146500000.0,174000000000.0,100000000.0,3.897418
