N,D,uD,loss
1096300000.0,100000000.0,100000000.0,6.611002
1096300000.0,1500000000.0,1500000000.0,3.680017
1096300000.0,1500000000.0,400000000.0,3.704141
1096300000.0,1500000000.0,100000000.0,3.819042
1096300000.0,2700000000.0,100000000.0,4.09782
1096300000.0,3900000000.0,100000000.0,4.83492
1096300000.0,5900000000.0,100000000.0,6.013517
1096300000.0,7500000000.0,100000000.0,6.74229
1096300000.0,12000000000.0,12000000000.0,2.925644
1096300000.0,12000000000.0,4800000000.0,2.927054
1096300000.0,12000000000.0,1500000000.0,2.996886
1096300000.0,12000000000.0,400000000.0,3.547616
1096300000.0,12000000000.0,100000000.0,8.136283
1096300000.0,91000000000.0,91000000000.0,2.636805
1096300000.0,91000000000.0,12000000000.0,2.665932
1096300000.0,91000000000.0,400000000.0,4.618763
1096300000.0,91000000000.0,1500000000.0,2.939082
1096300000.0,174000000000.0,1500000000.0,2.974257
1096300000.0,250000000000.0,1500000000.0,2.986145
