h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
1472,3888,23,22,0.00103,104,26558,-1,5656641536.0,568468736,4206292992,2.38e+19,568468736,761406720,2.439251122
1472,3888,23,22,0.00114,128,30517,-1,7999848448.0,568468736,4206292992,3.36e+19,568468736,761406720,2.392550788
1472,3888,23,22,0.00127,152,36343,-1,11313430528.0,568468736,4206292992,4.76e+19,568468736,761406720,2.346240225
1472,3888,23,22,0.00142,192,40690,-1,15999959040.0,568468736,4206292992,6.73e+19,568468736,761406720,2.30548969
1472,3888,23,22,0.00157,232,47623,-1,22627401728.0,568468736,4206292992,9.52e+19,568468736,761406720,2.27011682
1472,3888,23,22,0.00175,280,55803,-1,31999672320.0,568468736,4206292992,1.35e+20,568468736,761406720,2.234795655
1472,3888,23,22,0.00195,344,64235,-1,45254328320.0,568468736,4206292992,1.9e+20,568468736,761406720,2.210262249
1472,3888,23,22,0.00217,416,75120,-1,63999836160.0,568468736,4206292992,2.69e+20,568468736,761406720,2.182966875
1472,3888,23,22,0.00241,512,86316,-1,90508886016.0,568468736,4206292992,3.81e+20,568468736,761406720,2.15534713
1472,3888,23,22,0.00268,608,102796,-1,128000000000.0,568468736,4206292992,5.38e+20,568468736,761406720,2.137103805
1472,3888,23,22,0.000747,56,17438,-1,1999929344.0,568468736,4206292992,8.41e+18,568468736,761406720,2.62239552
1472,3888,23,22,0.000831,72,19181,-1,2828353536.0,568468736,4206292992,1.19e+19,568468736,761406720,2.56533835
1472,3888,23,22,0.000924,88,22194,-1,3999891456.0,568468736,4206292992,1.68e+19,568468736,761406720,2.500389661
1472,3888,23,22,0.000606,40,12207,-1,999997440.0,568468736,4206292992,4.21e+18,568468736,761406720,2.784417182
1472,3888,23,22,0.00299,768,115088,-1,181018000000.0,568468736,4206292992,7.61e+20,568468736,761406720,2.116205897
1472,3888,23,22,0.000674,48,14386,-1,1414201344.0,568468736,4206292992,5.95e+18,568468736,761406720,2.703132261
1472,3888,23,22,0.00333,896,139508,-1,255998000000.0,568468736,4206292992,1.08e+21,568468736,761406720,2.098638054
1472,3888,23,22,0.00371,1152,153451,-1,362036000000.0,568468736,4206292992,1.52e+21,568468736,761406720,2.084236552
