h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
1280,3472,20,20,0.00107,72,19181,-1,2828353536.0,397772800,3015475200,8.53e+18,397772800,565544960,2.596660444
1280,3472,20,20,0.00119,88,22194,-1,3999891456.0,397772800,3015475200,1.21e+19,397772800,565544960,2.536176233
1280,3472,20,20,0.00133,104,26558,-1,5656641536.0,397772800,3015475200,1.71e+19,397772800,565544960,2.474976081
1280,3472,20,20,0.00148,128,30517,-1,7999848448.0,397772800,3015475200,2.41e+19,397772800,565544960,2.428453974
1280,3472,20,20,0.00164,152,36343,-1,11313430528.0,397772800,3015475200,3.41e+19,397772800,565544960,2.385651537
1280,3472,20,20,0.00183,192,40690,-1,15999959040.0,397772800,3015475200,4.82e+19,397772800,565544960,2.344851082
1280,3472,20,20,0.00203,232,47623,-1,22627401728.0,397772800,3015475200,6.82e+19,397772800,565544960,2.310581422
1280,3472,20,20,0.00226,280,55803,-1,31999672320.0,397772800,3015475200,9.65e+19,397772800,565544960,2.278385621
1280,3472,20,20,0.00251,344,64235,-1,45254328320.0,397772800,3015475200,1.36e+20,397772800,565544960,2.257361358
1280,3472,20,20,0.0028,416,75120,-1,63999836160.0,397772800,3015475200,1.93e+20,397772800,565544960,2.231659273
1280,3472,20,20,0.00311,512,86316,-1,90508886016.0,397772800,3015475200,2.73e+20,397772800,565544960,2.205606807
1280,3472,20,20,0.00346,624,100160,-1,128000000000.0,397772800,3015475200,3.86e+20,397772800,565544960,2.188788358
1280,3472,20,20,0.000963,56,17438,-1,1999929344.0,397772800,3015475200,6.03e+18,397772800,565544960,2.660845065
1280,3472,20,20,0.00383,768,115088,-1,181018000000.0,397772800,3015475200,5.46e+20,397772800,565544960,2.169816534
1280,3472,20,20,0.000862,48,14386,-1,1414201344.0,397772800,3015475200,4.26e+18,397772800,565544960,2.736104204
1280,3472,20,20,0.00427,928,134698,-1,255999000000.0,397772800,3015475200,7.72e+20,397772800,565544960,2.153218192
1280,3472,20,20,0.00475,1152,153451,-1,362036000000.0,397772800,3015475200,1.09e+21,397772800,565544960,2.140030505
