h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
2752,7336,43,42,0.000251,96,24194,-1,4756733952.0,3816352512,25737320448,1.22e+20,3816352512,4177062656,2.316639445
2752,7336,43,42,0.000226,80,20529,-1,3363471360.0,3816352512,25737320448,8.66e+19,3816352512,4177062656,2.380314794
2752,7336,43,42,0.000311,144,32259,-1,9513566208.0,3816352512,25737320448,2.45e+20,3816352512,4177062656,2.20423793
2752,7336,43,42,0.00028,112,29328,-1,6727139328.0,3816352512,25737320448,1.73e+20,3816352512,4177062656,2.257117987
2752,7336,43,42,0.000428,256,51324,-1,26908557312.0,3816352512,25737320448,6.93e+20,3816352512,4177062656,2.065418226
2752,7336,43,42,0.000203,64,18145,-1,2378301440.0,3816352512,25737320448,6.12e+19,3816352512,4177062656,2.450576211
2752,7336,43,42,0.000385,224,41476,-1,19027197952.0,3816352512,25737320448,4.9e+20,3816352512,4177062656,2.105937552
2752,7336,43,42,0.000346,176,37326,-1,13454082048.0,3816352512,25737320448,3.46e+20,3816352512,4177062656,2.154807174
2752,7336,43,42,0.00059,448,82952,-1,76108791808.0,3816352512,25737320448,1.96e+21,3816352512,4177062656,1.947880024
2752,7336,43,42,0.000476,320,58066,-1,38054133760.0,3816352512,25737320448,9.79e+20,3816352512,4177062656,2.023904796
2752,7336,43,42,0.00053,384,68432,-1,53817114624.0,3816352512,25737320448,1.39e+21,3816352512,4177062656,1.986542367
2752,7336,43,42,0.00073,640,116133,-1,152218000000.0,3816352512,25737320448,3.92e+21,3816352512,4177062656,1.885337369
2752,7336,43,42,0.000656,512,102648,-1,107634000000.0,3816352512,25737320448,2.77e+21,3816352512,4177062656,1.917703716
