h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
960,2592,15,15,0.00152,40,14516,-1,1189150720.0,167299200,1357516800,1.61e+18,167299200,293128320,2.897807809
960,2592,15,15,0.00169,56,14664,-1,1681784832.0,167299200,1357516800,2.28e+18,167299200,293128320,2.793489729
960,2592,15,15,0.0075,832,126336,-1,215268000000.0,167299200,1357516800,2.92e+20,167299200,293128320,2.319625265
960,2592,15,15,0.00258,112,29328,-1,6727139328.0,167299200,1357516800,9.13e+18,167299200,293128320,2.579481692
960,2592,15,15,0.00209,80,20529,-1,3363471360.0,167299200,1357516800,4.57e+18,167299200,293128320,2.681226926
960,2592,15,15,0.00232,96,24194,-1,4756733952.0,167299200,1357516800,6.46e+18,167299200,293128320,2.625343884
960,2592,15,15,0.00188,64,18145,-1,2378301440.0,167299200,1357516800,3.23e+18,167299200,293128320,2.744303266
960,2592,15,15,0.00287,144,32259,-1,9513566208.0,167299200,1357516800,1.29e+19,167299200,293128320,2.535908486
960,2592,15,15,0.00356,208,44666,-1,19027001344.0,167299200,1357516800,2.58e+19,167299200,293128320,2.460696292
960,2592,15,15,0.00606,560,93850,-1,107635000000.0,167299200,1357516800,1.46e+20,167299200,293128320,2.349539348
960,2592,15,15,0.0049,376,69888,-1,53817114624.0,167299200,1357516800,7.31e+19,167299200,293128320,2.390571335
960,2592,15,15,0.0044,312,59555,-1,38054215680.0,167299200,1357516800,5.17e+19,167299200,293128320,2.408628664
960,2592,15,15,0.0032,176,37326,-1,13454082048.0,167299200,1357516800,1.83e+19,167299200,293128320,2.500977944
960,2592,15,15,0.00396,256,51324,-1,26908557312.0,167299200,1357516800,3.65e+19,167299200,293128320,2.434420685
960,2592,15,15,0.00545,464,80092,-1,76109185024.0,167299200,1357516800,1.03e+20,167299200,293128320,2.364432479
960,2592,15,15,0.00834,1024,145166,-1,304435000000.0,167299200,1357516800,4.13e+20,167299200,293128320,2.308296006
960,2592,15,15,0.00674,688,108031,-1,152218000000.0,167299200,1357516800,2.07e+20,167299200,293128320,2.33109847
