h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
2304,6064,36,36,0.000278,56,17438,-1,1999929344.0,2273495040,15678406656,3.14e+19,2273495040,2575484928,2.504837876
2304,6064,36,36,0.000309,72,19181,-1,2828353536.0,2273495040,15678406656,4.43e+19,2273495040,2575484928,2.444543734
2304,6064,36,36,0.000344,88,22194,-1,3999891456.0,2273495040,15678406656,6.27e+19,2273495040,2575484928,2.374907707
2304,6064,36,36,0.000426,128,30517,-1,7999848448.0,2273495040,15678406656,1.25e+20,2273495040,2575484928,2.260764349
2304,6064,36,36,0.000474,152,36343,-1,11313430528.0,2273495040,15678406656,1.77e+20,2273495040,2575484928,2.210738867
2304,6064,36,36,0.000527,192,40690,-1,15999959040.0,2273495040,15678406656,2.51e+20,2273495040,2575484928,2.16597065
2304,6064,36,36,0.000586,224,49323,-1,22627024896.0,2273495040,15678406656,3.55e+20,2273495040,2575484928,2.122842681
2304,6064,36,36,0.000652,288,54253,-1,31999721472.0,2273495040,15678406656,5.02e+20,2273495040,2575484928,2.080906511
2304,6064,36,36,0.000725,352,62775,-1,45254246400.0,2273495040,15678406656,7.1e+20,2273495040,2575484928,2.048624059
2304,6064,36,36,0.000807,448,69754,-1,63999574016.0,2273495040,15678406656,1e+21,2273495040,2575484928,2.014403198
2304,6064,36,36,0.000898,512,86316,-1,90508886016.0,2273495040,15678406656,1.42e+21,2273495040,2575484928,1.9796729
2304,6064,36,36,0.000999,640,97656,-1,128000000000.0,2273495040,15678406656,2.01e+21,2273495040,2575484928,1.953506319
2304,6064,36,36,0.000251,48,14386,-1,1414201344.0,2273495040,15678406656,2.22e+19,2273495040,2575484928,2.587869059
2304,6064,36,36,0.00111,768,115088,-1,181018000000.0,2273495040,15678406656,2.84e+21,2273495040,2575484928,1.928493426
