h,ffnh,numh,numl,lr,bs,ti,target_iter,D,N,M,C,exact_N,N_add_emb,smooth loss
1600,4264,25,26,0.00111,192,40690,-1,15999959040.0,798470400,5812684800,9.3e+19,798470400,1008185600,2.269538271
1600,4264,25,26,0.00124,232,47623,-1,22627401728.0,798470400,5812684800,1.32e+20,798470400,1008185600,2.22763701
1600,4264,25,26,0.00137,280,55803,-1,31999672320.0,798470400,5812684800,1.86e+20,798470400,1008185600,2.192054277
1600,4264,25,26,0.00153,336,65765,-1,45254737920.0,798470400,5812684800,2.63e+20,798470400,1008185600,2.163534778
1600,4264,25,26,0.0017,416,75120,-1,63999836160.0,798470400,5812684800,3.72e+20,798470400,1008185600,2.136728282
1600,4264,25,26,0.00189,512,86316,-1,90508886016.0,798470400,5812684800,5.26e+20,798470400,1008185600,2.108638094
1600,4264,25,26,0.00211,608,102796,-1,128000000000.0,798470400,5812684800,7.44e+20,798470400,1008185600,2.085091155
1600,4264,25,26,0.000586,56,17438,-1,1999929344.0,798470400,5812684800,1.16e+19,798470400,1008185600,2.593749204
1600,4264,25,26,0.000652,72,19181,-1,2828353536.0,798470400,5812684800,1.64e+19,798470400,1008185600,2.529957234
1600,4264,25,26,0.000725,88,22194,-1,3999891456.0,798470400,5812684800,2.33e+19,798470400,1008185600,2.464026284
1600,4264,25,26,0.000807,104,26558,-1,5656641536.0,798470400,5812684800,3.29e+19,798470400,1008185600,2.402641943
1600,4264,25,26,0.000898,128,30517,-1,7999848448.0,798470400,5812684800,4.65e+19,798470400,1008185600,2.353922575
1600,4264,25,26,0.000999,152,36343,-1,11313430528.0,798470400,5812684800,6.58e+19,798470400,1008185600,2.308837463
1600,4264,25,26,0.000526,48,14386,-1,1414201344.0,798470400,5812684800,8.22e+18,798470400,1008185600,2.673425053
1600,4264,25,26,0.00289,1152,153451,-1,362036000000.0,798470400,5812684800,2.1e+21,798470400,1008185600,2.029608088
1600,4264,25,26,0.00234,768,115088,-1,181018000000.0,798470400,5812684800,1.05e+21,798470400,1008185600,2.064691902
1600,4264,25,26,0.0026,896,139508,-1,255998000000.0,798470400,5812684800,1.49e+21,798470400,1008185600,2.045957412
1600,4264,25,26,0.00322,1408,177556,-1,511998000000.0,798470400,5812684800,2.98e+21,798470400,1008185600,2.017785386
