,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
53,[83.00627481],[0.00762267],[0.00870487],[0.78032429],[0.10516804],[0.02644913],[0.01392253],[0.01542329]
54,[80.91813875],[0.0322901],[0.0333454],[0.78578475],[0.07769698],[0.05064859],[0.01128044],[0.0170916]
55,[84.20517806],[0.00654013],[0.00544249],[0.77718917],[0.12094055],[0.01255501],[0.02839282],[0.01898418]
56,[84.56972762],[0.01084661],[0.00974426],[0.77623588],[0.12573648],[0.00833023],[0.03279279],[0.01835607]
57,[84.45102064],[0.00944431],[0.00834349],[0.7765463],[0.1241748],[0.00970593],[0.03136005],[0.01731286]
58,[83.66258709],[0.00013043],[0.00096022],[0.77860804],[0.11380234],[0.01884311],[0.02184396],[0.01695531]
59,[82.04182624],[0.01901583],[0.02008561],[0.78284632],[0.09247997],[0.03762615],[0.00228202],[0.01887689]
60,[84.01318165],[0.00427206],[0.00317688],[0.77769124],[0.11841469],[0.01478006],[0.0260755],[0.01838884]
61,[84.4711668],[0.00968229],[0.00858122],[0.77649361],[0.12443984],[0.00947246],[0.0316032],[0.01948008]
62,[84.43219422],[0.00922191],[0.00812134],[0.77659553],[0.12392712],[0.00992411],[0.03113282],[0.01700586]
63,[84.14533216],[0.00583317],[0.00473629],[0.77734567],[0.12015323],[0.01324856],[0.02767051],[0.01833417]
64,[82.96532983],[0.00810636],[0.00918803],[0.78043136],[0.10462938],[0.02692364],[0.01342834],[0.01984329]
65,[83.5692494],[0.00097218],[0.00206163],[0.77885212],[0.11257441],[0.0199248],[0.02071742],[0.01600096]
66,[84.2156758],[0.00666415],[0.00556636],[0.77716172],[0.12107865],[0.01243335],[0.02851953],[0.01896385]
67,[84.45567919],[0.00949934],[0.00839846],[0.77653411],[0.12423609],[0.00965194],[0.03141627],[0.01960364]
68,[84.29952564],[0.00765467],[0.00655581],[0.77694245],[0.12218176],[0.01146161],[0.02953156],[0.01835867]
69,[83.47827201],[0.0020469],[0.00313519],[0.77909003],[0.11137753],[0.02097914],[0.01961935],[0.02046742]
70,[83.29915806],[0.0041628],[0.00524877],[0.77955841],[0.10902115],[0.0230549],[0.01745752],[0.01589938]
71,[83.92718427],[0.00325616],[0.00216209],[0.77791612],[0.11728332],[0.01577668],[0.02503755],[0.01810503]
72,[84.08552941],[0.00512671],[0.0040306],[0.77750205],[0.11936648],[0.01394162],[0.02694871],[0.01804609]
73,[84.07045789],[0.00494867],[0.00385276],[0.77754146],[0.1191682],[0.01411628],[0.0267668],[0.01866416]
74,[83.55477921],[0.00114311],[0.00223238],[0.77888996],[0.11238404],[0.0200925],[0.02054277],[0.01896841]
75,[82.92796549],[0.00854775],[0.00962894],[0.78052907],[0.10413782],[0.02735666],[0.01297737],[0.01590902]
76,[83.61667287],[0.00041196],[0.00150202],[0.77872811],[0.1131983],[0.01937521],[0.0212898],[0.01703056]
77,[83.59171911],[0.00070674],[0.00179648],[0.77879336],[0.11287002],[0.0196644],[0.02098862],[0.01493841]
78,[83.54229048],[0.00129065],[0.00237975],[0.77892262],[0.11221975],[0.02023723],[0.02039203],[0.01609005]
79,[83.00021963],[0.0076942],[0.00877632],[0.78034013],[0.10508838],[0.0265193],[0.01384945],[0.01734327]
80,[82.40137073],[0.01476848],[0.01584289],[0.78190611],[0.09721006],[0.03345938],[0.00662158],[0.01497164]
81,[82.94625358],[0.00833171],[0.00941314],[0.78048125],[0.10437842],[0.02714472],[0.0131981],[0.01785587]
82,[82.87460975],[0.00917805],[0.01025855],[0.7806686],[0.10343589],[0.027975],[0.01233339],[0.01755942]
83,[82.60902425],[0.01231544],[0.01339253],[0.7813631],[0.0999419],[0.03105288],[0.00912788],[0.01356206]
84,[82.29816763],[0.01598763],[0.01706071],[0.78217599],[0.09585234],[0.0346554],[0.00537596],[0.01818498]
85,[81.88973663],[0.02081248],[0.0218803],[0.78324403],[0.09047911],[0.03938872],[0.00044636],[0.01405079]
86,[83.02389126],[0.00741456],[0.00849699],[0.78027823],[0.1053998],[0.02624497],[0.01413516],[0.02297745]
