,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.72143086],[0.00164247],[0.01203516],[0.76321563],[0.18167255],[0.04129617],[0.01293297],[0.0040466]
1,[0.71734794],[0.0032138],[0.01630298],[0.76300983],[0.17522416],[0.04902675],[0.00789434],[0.00142175]
2,[0.71311542],[0.00290347],[0.01701869],[0.76232351],[0.17111017],[0.05976752],[0.01251405],[0.00203599]
3,[0.70938073],[0.00305278],[0.01637448],[0.7617234],[0.16658494],[0.07079155],[0.00938601],[0.00269589]
4,[0.70617519],[0.00379572],[0.01456763],[0.76125208],[0.16151506],[0.08163006],[0.01045026],[0.00196216]
5,[0.70284134],[0.00296149],[0.00966373],[0.7603973],[0.15844256],[0.09435071],[0.01489598],[0.00338061]
6,[0.70083444],[0.00549125],[0.00688151],[0.76035373],[0.15163615],[0.1032744],[0.01075441],[0.00016104]
7,[0.69836865],[0.00547161],[0.00067974],[0.75970515],[0.14796611],[0.11471056],[0.0151926],[0.00070204]
8,[0.69576226],[0.00406684],[0.00748469],[0.75873371],[0.14606858],[0.12727874],[0.01593685],[0.00278821]
9,[0.69440301],[0.00587921],[0.01267144],[0.75855861],[0.14065042],[0.1356637],[0.01352579],[0.00129386]
10,[0.73698492],[0.00024796],[0.00398762],[0.76429592],[0.19753205],[0.02192291],[0.00711512],[0.00361794]
11,[0.73249813],[0.00478867],[0.00602031],[0.7649665],[0.18734069],[0.02301727],[0.00586196],[0.00379314]
12,[0.72691308],[0.00371214],[0.00998504],[0.76423882],[0.1838947],[0.03099822],[0.01007887],[0.00208544]
13,[0.74968034],[0.00073781],[0.01350276],[0.76493328],[0.20642572],[0.011986],[0.01106008],[0.01341097]
14,[0.69260391],[0.00545507],[0.02017891],[0.75786119],[0.13798326],[0.14598735],[0.01439786],[0.00330648]
15,[0.74351392],[0.0019333],[0.00762239],[0.76500599],[0.20027086],[0.01528321],[0.00626401],[0.00368505]
16,[0.69122886],[0.00567161],[0.0269123],[0.75734204],[0.13476039],[0.1549413],[0.01547392],[0.00168729]
17,[0.69027158],[0.00655769],[0.03270661],[0.75701115],[0.13095133],[0.16246466],[0.01725118],[0.00028054]
