,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.97844038],[0.03188156],[0.03349083],[0.77432129],[0.14780856],[0.00300133],[0.01562748],[0.00772078]
1,[0.97854809],[0.0267265],[0.02832773],[0.77544873],[0.14207434],[0.00200946],[0.01055361],[0.00639848]
2,[0.97885219],[0.01217155],[0.01375008],[0.77863199],[0.12588421],[0.01615705],[0.00377207],[0.00113255]
3,[0.97938518],[0.01333799],[0.01179924],[0.78421107],[0.0975088],[0.04095262],[0.02887978],[0.00094285]
4,[0.98035524],[0.059767],[0.05830066],[0.79436538],[0.04586372],[0.08608218],[0.07457744],[0.00749499]
5,[0.9783761],[0.03495814],[0.03657221],[0.77364842],[0.15123077],[0.0059918],[0.01865559],[0.00537609]
6,[0.97837491],[0.03501536],[0.03662952],[0.77363591],[0.15129442],[0.00604742],[0.01871191],[0.00639698]
7,[0.9785996],[0.02426128],[0.02585866],[0.77598789],[0.13933217],[0.00440569],[0.00812722],[0.00340173]
8,[0.97901921],[0.00417806],[0.00574412],[0.78038021],[0.11699269],[0.02392682],[0.01163965],[0.00570438]
9,[0.97979728],[0.03306195],[0.03155396],[0.78852482],[0.07556895],[0.06012455],[0.04829305],[0.01542111]
10,[0.97839166],[0.03421328],[0.03582618],[0.77381133],[0.15040223],[0.00526778],[0.01792246],[0.00455127]
11,[0.97830926],[0.03815738],[0.03977644],[0.77294873],[0.15478943],[0.0091015],[0.02180444],[0.00658476]
12,[0.9784364],[0.03207214],[0.0336817],[0.77427961],[0.14802054],[0.00318657],[0.01581505],[0.00629936]
13,[0.97875617],[0.01676758],[0.01835328],[0.77762681],[0.13099659],[0.01168965],[0.00075157],[0.00798752]
14,[0.97940601],[0.01433499],[0.01279779],[0.78442912],[0.0963998],[0.04192172],[0.02986107],[0.01139503]
15,[0.97845192],[0.03132945],[0.03293786],[0.77444204],[0.14719441],[0.00246466],[0.01508406],[0.00365363]
16,[0.97839691],[0.03396205],[0.03557456],[0.77386627],[0.15012278],[0.00502359],[0.01767519],[0.00254089]
17,[0.97838305],[0.03462545],[0.036239],[0.77372118],[0.15086071],[0.00566842],[0.01832814],[0.00541438]
18,[0.97861806],[0.02337762],[0.02497363],[0.77618115],[0.13834924],[0.00526461],[0.00725749],[0.00655601]
19,[0.97913042],[0.00114503],[0.00041273],[0.7815444],[0.11107158],[0.02910092],[0.01687889],[0.01232572]
20,[0.97861136],[0.02369804],[0.02529455],[0.77611107],[0.13870565],[0.00495316],[0.00757286],[0.00120189]
21,[0.97847569],[0.03019155],[0.03179818],[0.7746909],[0.14592868],[0.00135861],[0.01396408],[0.00259398]
22,[0.97843407],[0.03218384],[0.03379358],[0.77425518],[0.14814479],[0.00329514],[0.01592499],[0.00400396]
23,[0.97862817],[0.02289368],[0.02448893],[0.77628699],[0.13781093],[0.00573501],[0.00678117],[0.00342057]
24,[0.97904397],[0.00299258],[0.00455679],[0.78063948],[0.11567403],[0.02507912],[0.01280645],[0.00968642]
25,[0.9787988],[0.01472704],[0.01630956],[0.77807308],[0.12872681],[0.01367308],[0.00125683],[0.00141152]
26,[0.97857048],[0.02565467],[0.02725422],[0.77568315],[0.1408821],[0.00305129],[0.00949866],[0.00482907]
27,[0.97856409],[0.02596071],[0.02756075],[0.77561621],[0.14122253],[0.00275381],[0.00979989],[0.00295223]
28,[0.97867708],[0.02055271],[0.02214431],[0.77679897],[0.13520696],[0.00801045],[0.00447708],[0.002849]
29,[0.9790697],[0.00176122],[0.00332352],[0.78090879],[0.11430434],[0.02627601],[0.01401841],[0.00767259]
30,[0.97895138],[0.00742441],[0.00899553],[0.77967021],[0.12060376],[0.02077132],[0.00844443],[0.00015409]
31,[0.97886097],[0.0117517],[0.01332958],[0.77872381],[0.1254172],[0.01656514],[0.0041853],[0.00016972]
32,[0.97871323],[0.01882236],[0.02041126],[0.77717741],[0.13328221],[0.00969238],[0.00277398],[0.00448935]
33,[0.97879721],[0.01480319],[0.01638582],[0.77805643],[0.12881151],[0.01359906],[0.00118188],[0.00283408]
34,[0.97922054],[0.00545802],[0.00390699],[0.78248768],[0.10627404],[0.0332932],[0.02112394],[0.00458662]
35,[0.97915155],[0.00215599],[0.00059981],[0.7817655],[0.10994704],[0.03008359],[0.01787392],[0.00216029]
36,[0.97918577],[0.00379423],[0.0022406],[0.7821238],[0.10812476],[0.03167597],[0.01948635],[0.00125463]
