,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.22096325],[0.00626853],[0.0103543],[0.76134714],[0.15784955],[0.10102007],[0.00981428],[0.00121078]
1,[0.22119992],[0.00974435],[0.00385359],[0.7605066],[0.15799589],[0.11450182],[0.01099474],[0.00243368]
2,[0.21800587],[0.01129458],[0.00186637],[0.76013612],[0.1561134],[0.12578474],[0.01434511],[0.00087747]
3,[0.15730605],[0.00946317],[0.02672418],[0.76653076],[0.18639839],[0.03144409],[0.0063008],[0.0007834]
4,[0.16734738],[0.01186888],[0.01586873],[0.76680332],[0.17840568],[0.02961408],[0.0027464],[0.002756]
5,[0.181793],[0.00877218],[0.010117],[0.76581863],[0.17700362],[0.03399177],[0.00778943],[0.00091513]
6,[0.1940158],[0.00587752],[0.00408231],[0.76491874],[0.17539638],[0.03909501],[0.0091719],[0.00260534]
7,[0.20079081],[0.00590316],[0.00440129],[0.76474425],[0.17041599],[0.04241344],[0.01000599],[0.00130051]
8,[0.20700478],[0.00484739],[0.01074969],[0.76434601],[0.16682399],[0.04829646],[0.01188907],[0.00100795]
9,[0.2131949],[0.00236392],[0.01418513],[0.76363845],[0.16502995],[0.05711753],[0.01225045],[0.00110553]
10,[0.21731804],[0.00022372],[0.01614016],[0.76303798],[0.16297299],[0.06685461],[0.01229137],[0.00203454]
11,[0.22073271],[0.00260163],[0.01544524],[0.76229807],[0.16186358],[0.07834559],[0.004172],[0.00258302]
12,[0.21995227],[0.00315635],[0.01503331],[0.7621169],[0.15829205],[0.08809538],[0.00893086],[0.00072216]
13,[0.14091887],[0.01064106],[0.03285603],[0.76714749],[0.19010006],[0.02950251],[0.00733356],[0.00176625]
14,[0.21505235],[0.01386781],[0.009378],[0.75953438],[0.15558465],[0.13795726],[0.01413038],[0.00017165]
15,[0.21098603],[0.01625903],[0.01719154],[0.75898538],[0.15502871],[0.14956637],[0.01761628],[0.00470769]
16,[0.20519437],[0.01786596],[0.02445224],[0.75863032],[0.15376237],[0.1598426],[0.01845451],[0.0100824]
