,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.63904882],[0.00761725],[0.00617227],[0.78110649],[0.11329022],[0.02719777],[0.00274569],[0.01342862]
1,[0.63938694],[0.00854687],[0.00710324],[0.78131154],[0.11224734],[0.02810905],[0.00180636],[0.01109298]
2,[0.64442308],[0.02239301],[0.02096955],[0.78436563],[0.09671425],[0.041682],[0.01218437],[0.01623945]
3,[0.65404531],[0.04884794],[0.04746299],[0.79020089],[0.06703618],[0.06761494],[0.03891555],[0.01879219]
4,[0.67136695],[0.09647124],[0.09515564],[0.80070534],[0.01361067],[0.1142986],[0.08703616],[0.02189829]
5,[0.63821641],[0.00532866],[0.00388034],[0.78060168],[0.11585765],[0.02495433],[0.00505818],[0.01515897]
6,[0.63726726],[0.00271911],[0.001267],[0.78002609],[0.11878513],[0.02239628],[0.00769497],[0.01199687]
7,[0.64035725],[0.0112146],[0.00977485],[0.78189997],[0.1092546],[0.03072414],[0.00088922],[0.01468203]
8,[0.64777836],[0.03161785],[0.03020782],[0.78640039],[0.0863655],[0.05072482],[0.02150554],[0.01732317]
9,[0.66141321],[0.06910488],[0.06774943],[0.79466904],[0.04431121],[0.0874722],[0.05938403],[0.01427554]
10,[0.63838853],[0.00580188],[0.00435426],[0.78070606],[0.11532677],[0.02541822],[0.00458001],[0.01463743]
11,[0.63671125],[0.00119044],[0.0002639],[0.7796889],[0.12050005],[0.02089777],[0.00923961],[0.01325513]
12,[0.63781766],[0.00423236],[0.00278245],[0.78035987],[0.11708751],[0.02387967],[0.00616592],[0.01328541]
13,[0.64319408],[0.01901405],[0.01758566],[0.78362032],[0.1005049],[0.0383697],[0.00877012],[0.01357463]
14,[0.6545347],[0.05019342],[0.04881044],[0.79049767],[0.06552676],[0.06893388],[0.04027509],[0.01981539]
15,[0.64002296],[0.0102955],[0.00885442],[0.78169724],[0.11028567],[0.02982317],[3.94721302e-05],[0.01576331]
16,[0.63694539],[0.00183419],[0.00038079],[0.7798309],[0.11977787],[0.02152882],[0.00858914],[0.01377788]
17,[0.63733737],[0.00291188],[0.00146005],[0.78006861],[0.11856888],[0.02258524],[0.00750019],[0.01426599]
