,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[1136.60543636],[0.00373901],[0.02108219],[0.76691791],[0.17058619],[0.04353673],[0.01078025],[0.00862324]
1,[1165.90532423],[0.01572197],[0.00986419],[0.764179],[0.17371755],[0.0584772],[0.01159336],[0.00336115]
2,[1113.70253025],[0.01074232],[0.03857112],[0.76851354],[0.1727143],[0.04485052],[0.00820341],[0.00829183]
3,[1152.07178196],[0.00358922],[0.00214618],[0.76586277],[0.16913539],[0.04552507],[0.01310167],[0.00707716]
4,[1167.33530194],[0.01914519],[0.01640002],[0.76409768],[0.17315725],[0.0647075],[0.01296437],[0.00367258]
5,[1165.90532423],[0.01572197],[0.00986419],[0.764179],[0.17371755],[0.0584772],[0.01159336],[0.00336115]
6,[1087.66884557],[0.01311191],[0.05590819],[0.7697727],[0.18043548],[0.04994764],[0.00638543],[0.01870031]
7,[1126.52691305],[0.00692041],[0.03061029],[0.76755555],[0.1720052],[0.04441218],[0.00803373],[0.01109176]
8,[1158.89916947],[0.00883927],[0.00517755],[0.76515648],[0.17042114],[0.05030722],[0.01297266],[0.0055093]
9,[1099.19894434],[0.01422349],[0.04559477],[0.76957812],[0.17383941],[0.04535228],[0.00631261],[0.01571398]
10,[1143.7075521],[0.00144436],[0.01021107],[0.76664148],[0.16820906],[0.04249656],[0.01087359],[0.00865557]
11,[1174.3548947],[0.03348785],[0.01639277],[0.76242782],[0.18111454],[0.08923394],[0.01590298],[0.00450707]
