,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.06026674],[0.01560623],[0.06164237],[0.76040771],[0.21882078],[0.06603549],[0.02294761],[0.02283504]
1,[0.09972868],[0.02543525],[0.01178698],[0.76986341],[0.16415672],[0.02206394],[0.01163015],[0.01745396]
2,[0.0957362],[0.01801879],[0.0113053],[0.76796284],[0.16761077],[0.02911412],[0.01171149],[0.01497589]
3,[0.10522946],[0.0181737],[0.0070499],[0.76790677],[0.15688708],[0.02993965],[0.00029466],[0.00961124]
4,[0.10507387],[0.01108552],[0.00900289],[0.76627271],[0.16012236],[0.03981525],[0.01682231],[0.00436474]
5,[0.10917009],[0.00761679],[0.01397494],[0.76554357],[0.1592142],[0.04741918],[0.00391234],[0.00017294]
6,[0.1146934],[0.00480351],[0.01846876],[0.76501195],[0.15768487],[0.05580428],[0.00718556],[0.0136197]
7,[0.10777406],[0.01296279],[0.00677446],[0.76098844],[0.17364244],[0.08143194],[0.01258962],[0.00972752]
8,[0.11758103],[0.01257232],[0.0111492],[0.76128181],[0.16868492],[0.08876409],[0.01560838],[0.00431773]
9,[0.13349545],[0.00563949],[0.01999552],[0.76314001],[0.15641661],[0.08965276],[0.0018439],[0.00647476]
10,[0.13812065],[0.01224579],[0.01384722],[0.76182806],[0.15993184],[0.10555613],[0.00842624],[0.00098569]
11,[0.14267218],[0.01944786],[0.0055437],[0.76039352],[0.16428976],[0.1223177],[0.01662312],[0.0070725]
12,[0.06209888],[0.01358817],[0.06518777],[0.76120852],[0.22203448],[0.06448321],[0.01448381],[0.00110715]
13,[0.14376383],[0.03125296],[0.00855764],[0.7578921],[0.17404956],[0.14419124],[0.0195425],[0.00734814]
