,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.53417504],[0.01355882],[0.03057482],[0.76845691],[0.16825054],[0.0393058],[0.01530071],[0.00227479]
1,[0.61937964],[0.02149824],[0.02007886],[0.76140286],[0.18794423],[0.0660307],[0.0213033],[0.01764137]
2,[0.54423044],[0.01970854],[0.00247276],[0.7702176],[0.15021737],[0.02571893],[0.00907889],[0.00290553]
3,[0.55121812],[0.01912817],[0.00869877],[0.77043335],[0.14571749],[0.02424986],[0.00115866],[0.01751293]
4,[0.56969175],[0.00198405],[0.03618692],[0.7648993],[0.18110557],[0.05169821],[0.01481129],[0.01450465]
5,[0.55499595],[0.00894704],[0.06350308],[0.7632439],[0.20058223],[0.06720485],[0.01415656],[0.02342391]
6,[0.63249518],[0.03052714],[0.00330493],[0.76125641],[0.18380244],[0.08344586],[0.01874584],[0.01244324]
7,[0.59407481],[0.00479035],[0.01890242],[0.76651171],[0.15879318],[0.05227405],[0.00694717],[0.0180415]
8,[0.63222774],[0.02855373],[0.01522933],[0.760332],[0.19107331],[0.07444127],[0.01506055],[0.01484441]
9,[0.6335367],[0.03756408],[0.01015127],[0.7612344],[0.18314263],[0.10266206],[0.02204324],[0.01034708]
10,[0.62747534],[0.03001026],[0.01156581],[0.76215403],[0.17875762],[0.08832784],[0.02055464],[0.00322998]
