,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.9827702],[0.00109279],[0.01131249],[0.76386835],[0.19433877],[0.02417681],[0.00888899],[0.00487237]
1,[0.98368321],[0.0005094],[0.0151031],[0.76347963],[0.1890182],[0.03243237],[0.00997411],[0.00295894]
2,[0.98453455],[0.00264562],[0.01503381],[0.76235556],[0.18698429],[0.04471422],[0.01314727],[0.00439899]
3,[0.98542125],[0.00107428],[0.01707128],[0.76203782],[0.18064627],[0.05419284],[0.01082645],[0.00183205]
4,[0.98627342],[4.06852818e-05],[0.01694459],[0.76155922],[0.17496934],[0.06491895],[0.01326031],[0.00184438]
5,[0.98708274],[0.00014688],[0.01411904],[0.7608024],[0.17061215],[0.07720205],[0.01342274],[0.00256329]
6,[0.98787498],[0.0013391],[0.01083045],[0.76028187],[0.1651338],[0.08849527],[0.01740947],[0.00302381]
7,[0.98862645],[0.00188094],[0.00564788],[0.75959414],[0.16057791],[0.10040766],[0.01840241],[0.00389259]
8,[0.98938205],[0.00592482],[0.00305579],[0.7597515],[0.15213257],[0.10812121],[0.01681185],[0.00286447]
9,[0.99006583],[0.00664647],[0.00343409],[0.75911637],[0.14772612],[0.11903874],[0.01815492],[0.00056948]
10,[0.99070284],[0.00601893],[0.01159301],[0.75816793],[0.14505325],[0.13092062],[0.01765073],[0.00426878]
11,[0.99133453],[0.00847521],[0.01666855],[0.75799078],[0.13900915],[0.13864999],[0.0172776],[0.00596418]
12,[0.98182149],[0.00279269],[0.00569878],[0.76388201],[0.2010336],[0.01824874],[0.00829719],[0.00560679]
13,[0.99191477],[0.00898885],[0.02359925],[0.75736601],[0.13538103],[0.14791638],[0.0167735],[0.00363229]
14,[0.9808872],[0.00307786],[0.0013034],[0.76409378],[0.20604051],[0.01190079],[0.00784228],[0.00653122]
15,[0.99246392],[0.00969596],[0.03007615],[0.75681724],[0.13170727],[0.15627177],[0.01733274],[0.00476914]
16,[0.99298654],[0.01116734],[0.03540886],[0.75648807],[0.12733521],[0.16304497],[0.01722235],[0.00723228]
