,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.11163125],[0.01159551],[0.02567469],[0.76727726],[0.17130405],[0.03889952],[0.01213593],[0.00119915]
1,[0.10981838],[0.01080473],[0.05815199],[0.76205277],[0.20353807],[0.06536247],[0.01456896],[0.02511749]
2,[0.08597776],[0.01822513],[0.00183389],[0.76908612],[0.15271619],[0.02818912],[0.01096978],[0.00673471]
3,[0.08157153],[0.00313044],[0.03073812],[0.76388259],[0.18320839],[0.0519756],[0.01588053],[0.01739729]
4,[0.00450358],[0.02683088],[0.01151449],[0.75957168],[0.18999327],[0.08004023],[0.01687458],[0.01625234]
5,[0.15722826],[0.02139175],[0.03200364],[0.76981248],[0.17077413],[0.03421334],[0.01520054],[0.01493915]
6,[0.02286267],[0.02006858],[0.01495238],[0.76072209],[0.18714344],[0.06976167],[0.02231278],[0.02018188]
7,[0.06595608],[0.01169345],[0.00607314],[0.76782105],[0.15519721],[0.03496636],[0.00832617],[0.00522016]
8,[0.01850919],[0.0213326],[0.01517739],[0.76246652],[0.16990343],[0.09166933],[0.00854563],[0.00430124]
9,[0.01830859],[0.00187157],[0.0217316],[0.76589828],[0.15637102],[0.05836663],[0.00583516],[0.01649739]
10,[0.01500204],[0.0261993],[0.00518065],[0.76075553],[0.17985394],[0.09000431],[0.01278075],[0.01327486]
11,[0.04578893],[0.0348967],[0.00696443],[0.76055679],[0.17729016],[0.1215487],[0.02133354],[0.00792642]
12,[0.03639985],[0.03190069],[0.00834765],[0.76061934],[0.17783308],[0.11047753],[0.01580279],[0.00754043]
