,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.726137],[0.00591321],[0.01258289],[0.76132498],[0.15795708],[0.10112232],[0.00726509],[0.0010841]
1,[0.72341534],[0.00424926],[0.01232202],[0.76173772],[0.15204319],[0.1087727],[0.00737904],[0.00214597]
2,[0.71867143],[0.01078562],[0.00273883],[0.76021579],[0.15572942],[0.12541084],[0.01579723],[0.00728761]
3,[0.7723628],[0.01362281],[0.0497141],[0.76047365],[0.21717824],[0.05820382],[0.02285583],[0.02254422]
4,[0.7756348],[0.02763375],[0.00036789],[0.76999513],[0.16227656],[0.01552151],[0.01128205],[0.02731959]
5,[0.76798031],[0.0193446],[0.0013258],[0.76784298],[0.16682915],[0.02505355],[0.01174733],[0.01638181]
6,[0.76065653],[0.01153502],[0.00122961],[0.76583663],[0.17080699],[0.03503782],[0.00452083],[0.00604331]
7,[0.75804175],[0.02183435],[0.01712862],[0.76815246],[0.15345987],[0.02731173],[0.00044556],[0.01150426]
8,[0.75129897],[0.01412565],[0.01679494],[0.76622928],[0.15749914],[0.03991884],[0.01494169],[0.00283124]
9,[0.74549846],[0.00916961],[0.01823779],[0.76498356],[0.1583999],[0.05110159],[0.00833427],[0.00321242]
10,[0.74117642],[0.00887787],[0.02287115],[0.76486681],[0.15399738],[0.05862082],[0.01074491],[0.01236005]
11,[0.73268013],[0.00826215],[0.00922629],[0.76077264],[0.16931972],[0.08526577],[0.01256438],[0.01056305]
12,[0.72924775],[0.00715425],[0.01172084],[0.76102541],[0.16360671],[0.09308795],[0.01153206],[0.00228895]
13,[0.77923602],[0.01213415],[0.05372903],[0.76110503],[0.22098284],[0.05621783],[0.01311926],[0.01464374]
14,[0.71287263],[0.0217918],[0.01224035],[0.75764296],[0.16467408],[0.14690804],[0.01748543],[0.01371961]
15,[0.7109614],[0.01967965],[0.01487776],[0.75818918],[0.15884438],[0.15336399],[0.01743032],[0.00274369]
16,[0.70749698],[0.02377593],[0.02405523],[0.75726888],[0.16027012],[0.16638465],[0.01896588],[0.00340963]
