,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.32740327],[0.02974251],[0.02016391],[0.76725641],[0.10357712],[0.08738407],[0.0076297],[0.00421549]
1,[0.31700517],[0.04566195],[0.03593527],[0.76365828],[0.12063801],[0.10419463],[0.02320728],[0.00321438]
2,[0.31613566],[0.04699317],[0.03725411],[0.7633574],[0.12206469],[0.10560037],[0.02450991],[0.00523842]
3,[0.33207612],[0.02258839],[0.01307635],[0.76887339],[0.09591004],[0.07982949],[0.00062921],[0.13276838]
4,[0.32894637],[0.02738002],[0.0178234],[0.76779038],[0.10104524],[0.08488934],[0.00531794],[0.00045935]
5,[0.33997123],[0.01050102],[0.00110141],[0.77160539],[0.08295598],[0.06706551],[0.01119859],[0.68676464]
6,[0.31325691],[0.05140052],[0.04162046],[0.76236124],[0.12678805],[0.11025443],[0.02882262],[0.08845407]
7,[0.32464847],[0.03396009],[0.02434226],[0.76630315],[0.10809711],[0.09183774],[0.01175671],[0.00447764]
8,[0.3224577],[0.03731415],[0.02766513],[0.76554506],[0.11169166],[0.09537955],[0.01503874],[0.08328506]
9,[0.31310405],[0.05163454],[0.04185231],[0.76230835],[0.12703886],[0.11050155],[0.02905162],[0.09660067]
10,[0.32272831],[0.03689985],[0.02725468],[0.7656387],[0.11124766],[0.09494206],[0.01463334],[0.00439405]
11,[0.31810674],[0.04397544],[0.03426446],[0.76403947],[0.11883059],[0.10241372],[0.02155699],[0.00402849]
12,[0.33523386],[0.01775391],[0.00828683],[0.76996609],[0.09072891],[0.07472439],[0.00410146],[0.00206339]
13,[0.33034782],[0.02523441],[0.01569775],[0.76827534],[0.09874578],[0.08262362],[0.0032184],[0.00051055]
14,[0.36437067],[0.02685442],[0.03590655],[0.78004851],[0.04292208],[0.02761904],[0.04775186],[0.15627034]
15,[0.3113062],[0.05438704],[0.04457921],[0.76168623],[0.12998872],[0.11340813],[0.03174501],[0.00522567]
16,[0.32047084],[0.04035602],[0.0306787],[0.76485753],[0.11495164],[0.09859169],[0.01801529],[0.00489695]
17,[0.34172273],[0.00781948],[0.00155518],[0.77221148],[0.08008217],[0.06423387],[0.01382255],[0.00977006]
