,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[8.11445631],[0.00119536],[0.01539894],[0.76379247],[0.16371075],[0.0589051],[0.00989752],[0.00106655]
1,[8.22747574],[0.0070919],[0.01410743],[0.76197604],[0.16022734],[0.09188374],[0.00942515],[0.00039774]
2,[8.15271963],[0.00031225],[0.01819673],[0.7634562],[0.16093658],[0.06765376],[0.01233805],[0.00189635]
3,[7.4888074],[0.00676904],[0.03871951],[0.76619969],[0.19208562],[0.03723598],[0.00823503],[0.00373728]
4,[8.05023226],[0.00411765],[0.01210794],[0.76449676],[0.16498027],[0.04992696],[0.00455626],[0.00137527]
5,[7.98125808],[0.00605365],[0.0062614],[0.76500614],[0.16752767],[0.04343849],[0.00673887],[0.00322341]
6,[8.2002702],[0.00418154],[0.01666126],[0.7625904],[0.16105719],[0.07992938],[0.00743079],[0.00013259]
7,[7.57902889],[0.01125865],[0.02576291],[0.76693229],[0.18156205],[0.03258947],[0.00864202],[0.00110401]
8,[7.70677871],[0.00951231],[0.01837349],[0.76626159],[0.17850928],[0.03450803],[0.00407423],[0.00482359]
9,[7.90262179],[0.00746488],[0.0012509],[0.76543494],[0.17080198],[0.03897284],[0.00585014],[0.00411491]
10,[7.31333811],[0.01033188],[0.04191806],[0.76743403],[0.19291624],[0.03300553],[0.00044117],[0.01531582]
11,[7.80776185],[0.00901563],[0.00923904],[0.76594555],[0.17399952],[0.03568559],[0.00534062],[0.00251247]
12,[8.26254091],[0.0120424],[0.00780181],[0.76090043],[0.16191047],[0.10647018],[0.0118775],[0.0025867]
13,[8.27193057],[0.01853107],[0.00547224],[0.75960411],[0.16186995],[0.13216714],[0.01500585],[0.00171358]
14,[8.2519938],[0.01310737],[0.00385991],[0.76075994],[0.1593078],[0.11694982],[0.01175124],[0.00031123]
15,[8.22657717],[0.02275961],[0.01961457],[0.75888494],[0.15997569],[0.15444677],[0.02048346],[0.01113745]
16,[8.25623278],[0.02098699],[0.0126499],[0.7591599],[0.16121923],[0.14387053],[0.0188295],[0.00273123]
