,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[13.87726929],[0.02115671],[0.02140125],[0.78440884],[0.09649446],[0.04187405],[0.01581889],[0.0165047]
1,[14.48376473],[0.01874739],[0.01849287],[0.77561993],[0.1411948],[0.00281453],[0.02430281],[0.01505793]
2,[13.88420364],[0.02070047],[0.02094513],[0.78430836],[0.09700554],[0.04142746],[0.01536016],[0.01499254]
3,[13.56344545],[0.04180461],[0.042044],[0.78895656],[0.07336481],[0.06208493],[0.03657939],[0.02093922]
4,[12.77539124],[0.09365428],[0.09388072],[0.8003765],[0.01528311],[0.1128372],[0.08871181],[0.01748825]
5,[13.93020017],[0.01767414],[0.01791956],[0.78364181],[0.10039561],[0.03846519],[0.01231734],[0.01443642]
6,[14.57128268],[0.02450559],[0.02424964],[0.77435168],[0.1476451],[0.0028218],[0.03009242],[0.01264383]
7,[14.07215522],[0.00833428],[0.00858203],[0.78158469],[0.11085808],[0.029323],[0.00292654],[0.01304242]
8,[13.8280457],[0.02439535],[0.02463909],[0.78512216],[0.09286655],[0.04504415],[0.0190752],[0.01866993]
9,[13.18385935],[0.06677931],[0.06701245],[0.79445726],[0.0453883],[0.08653104],[0.06169028],[0.01695895]
10,[13.90973808],[0.01902044],[0.01926552],[0.78393833],[0.0988875],[0.03978299],[0.01367097],[0.0144617]
11,[14.60293996],[0.02658847],[0.026332],[0.77389292],[0.14997833],[0.0048606],[0.03218665],[0.01307206]
12,[14.17459578],[0.00159424],[0.00184368],[0.78010019],[0.11840822],[0.02272563],[0.00385025],[0.01315329]
13,[14.02047671],[0.01173444],[0.01198134],[0.78233358],[0.10704923],[0.0326512],[0.00634524],[0.0167367]
14,[13.46903871],[0.04801606],[0.04825389],[0.79032464],[0.06640678],[0.06816492],[0.04282471],[0.01782946]
15,[13.85918728],[0.02234641],[0.02259065],[0.78467088],[0.09516177],[0.04303857],[0.01701508],[0.01479728]
16,[14.59976604],[0.02637964],[0.02612322],[0.77393892],[0.1497444],[0.00465619],[0.03197668],[0.01324832]
17,[14.19320322],[0.00036998],[0.00061972],[0.77983055],[0.11977964],[0.02152727],[0.00508119],[0.01538273]
18,[14.11008653],[0.0058386],[0.00608698],[0.78103502],[0.11365372],[0.02688015],[0.00041725],[0.01531105]
19,[13.67439778],[0.03450455],[0.03474576],[0.78734872],[0.08154229],[0.05493938],[0.02923952],[0.01648648]
20,[13.79197479],[0.02676862],[0.02701177],[0.78564487],[0.09020803],[0.04736718],[0.02146141],[0.01480792]
21,[14.5136342],[0.02071264],[0.02045763],[0.77518708],[0.14339626],[0.00089087],[0.02627878],[0.01719794]
22,[14.19929983],[3.11472421e-05],[0.00021869],[0.7797422],[0.12022897],[0.02113464],[0.00548451],[0.01665384]
23,[14.16663836],[0.0021178],[0.0023671],[0.78021551],[0.11782174],[0.0232381],[0.00332384],[0.01429489]
24,[13.79787798],[0.02638022],[0.02662347],[0.78555933],[0.09064311],[0.04698701],[0.02107089],[0.01366461]
25,[13.72108475],[0.0314328],[0.03167478],[0.78667216],[0.08498325],[0.05193265],[0.02615102],[0.0156891]
26,[14.40498092],[0.01356384],[0.01331062],[0.77676161],[0.13538822],[0.00788836],[0.019091],[0.01933053]
27,[14.11729611],[0.00536425],[0.00561274],[0.78093054],[0.11418508],[0.02641584],[5.96853867e-05],[0.0171745]
28,[14.12806686],[0.00465559],[0.00490426],[0.78077446],[0.11497891],[0.02572218],[0.00077221],[0.01487647]
29,[13.79313668],[0.02669218],[0.02693534],[0.78562804],[0.09029367],[0.04729236],[0.02138454],[0.01526542]
30,[13.60594987],[0.03900805],[0.03924813],[0.78834062],[0.0764975],[0.05934756],[0.03376758],[0.01820303]
31,[14.23988765],[0.0027016],[0.0024511],[0.77915403],[0.1232204],[0.0185207],[0.00816953],[0.02214128]
32,[14.02069959],[0.01171978],[0.01196668],[0.78233035],[0.10706566],[0.03263685],[0.0063305],[0.01591664]
33,[13.99338481],[0.01351694],[0.01376339],[0.78272618],[0.10505249],[0.03439598],[0.00813746],[0.01793123]
34,[13.70820302],[0.03228035],[0.03252211],[0.78685884],[0.08403383],[0.05276225],[0.02700319],[0.01797074]
35,[13.55015828],[0.04267883],[0.042918],[0.78914911],[0.07238551],[0.06294065],[0.03745838],[0.01611709]
36,[14.14360895],[0.00363301],[0.00388193],[0.78054923],[0.11612441],[0.02472124],[0.00180037],[0.01460993]
37,[13.81428781],[0.02530055],[0.02554406],[0.78532153],[0.09185256],[0.04593018],[0.01998533],[0.01652551]
38,[13.79499067],[0.02657019],[0.02681339],[0.78560117],[0.09043031],[0.04717296],[0.0212619],[0.01810264]
39,[13.46542039],[0.04825412],[0.0484919],[0.79037708],[0.0661401],[0.06839794],[0.04306407],[0.02165595]
