,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[19.87728817],[0.02045103],[0.0287474],[0.76214124],[0.22091302],[0.01427303],[0.00915098],[0.005225]
1,[20.19912034],[0.0128531],[0.03479035],[0.76366591],[0.20744945],[0.01943109],[0.00351044],[0.00240591]
2,[20.64979447],[0.01299349],[0.03212209],[0.76315048],[0.20329111],[0.0331788],[0.00614577],[0.00042456]
3,[21.07787111],[0.0134503],[0.02764478],[0.7623696],[0.19958022],[0.04788921],[0.00952361],[0.00264852]
4,[21.40301924],[0.01056899],[0.02489697],[0.76222268],[0.19202429],[0.05944736],[0.01085106],[0.00146873]
5,[21.72961059],[0.00912146],[0.01947959],[0.76162758],[0.18629283],[0.07248778],[0.01567246],[0.00091928]
6,[22.06591412],[0.00936158],[0.01139042],[0.7605516],[0.1826806],[0.08709564],[0.01679837],[0.00361619]
7,[22.27744008],[0.0053711],[0.00675149],[0.76042698],[0.17426862],[0.0966823],[0.01700642],[0.00162495]
8,[22.46097149],[0.0013844],[0.00176248],[0.7602769],[0.16604215],[0.10560413],[0.01915165],[0.00143109]
9,[22.60093294],[0.00331954],[0.00257876],[0.76029418],[0.15716855],[0.11296134],[0.01652844],[0.00311509]
10,[22.75791334],[0.00624997],[0.00856223],[0.75989535],[0.15054079],[0.12148431],[0.01858139],[0.00458141]
11,[22.91386542],[0.00826668],[0.0151915],[0.75929605],[0.14514961],[0.13023015],[0.01698755],[0.00537178]
12,[22.99489414],[0.0124938],[0.01915227],[0.75926493],[0.13738717],[0.13563401],[0.01632205],[0.00345038]
13,[23.10007896],[0.01489393],[0.02451596],[0.75882836],[0.13190867],[0.14232708],[0.0163856],[0.00458633]
14,[19.32714906],[0.01845368],[0.03081752],[0.76256674],[0.22293838],[0.00058178],[0.00863659],[0.00081721]
15,[23.21317861],[0.016222],[0.0304946],[0.75817187],[0.12782944],[0.14950765],[0.02175812],[0.00531253]
