,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.47308788],[0.00960402],[0.03132684],[0.76396015],[0.21527919],[0.00811844],[0.01648468],[0.01516736]
1,[0.46602756],[0.01851095],[0.02354333],[0.76198173],[0.22154034],[0.01101797],[0.00557134],[0.00877473]
2,[0.49078881],[0.01762727],[0.02630129],[0.75840605],[0.12763283],[0.14590769],[0.01747791],[0.00185657]
3,[0.46812868],[0.00593652],[0.02844366],[0.76295581],[0.18915735],[0.04961717],[0.00817024],[0.00165117]
4,[0.46747236],[0.00967503],[0.03112848],[0.76344993],[0.202139],[0.02615685],[0.00524789],[0.00190007]
5,[0.46713221],[0.00866551],[0.02971727],[0.76307691],[0.19661725],[0.03849245],[0.00871102],[0.00071281]
6,[0.46847023],[0.01032668],[0.0314912],[0.76371409],[0.20730333],[0.0143194],[0.00544456],[0.00227213]
7,[0.46895447],[0.00425907],[0.02468971],[0.7624708],[0.18306568],[0.06208535],[0.00880118],[0.0008807]
8,[0.47132161],[0.00141574],[0.01313737],[0.76114782],[0.17190629],[0.08725496],[0.01259403],[0.00164976]
9,[0.48504373],[0.01303926],[0.01535274],[0.75927915],[0.13840118],[0.13205172],[0.01669786],[0.00686609]
10,[0.48015388],[0.00933874],[0.0019872],[0.76049858],[0.14884559],[0.11405107],[0.01514277],[0.00387044]
11,[0.47652766],[0.00482924],[0.00228133],[0.76049389],[0.15742377],[0.10686297],[0.01441823],[0.00130775]
12,[0.47099108],[0.00093834],[0.02126751],[0.76229012],[0.17518202],[0.07276656],[0.00501027],[0.00440908]
13,[0.47411832],[0.00228369],[0.00845225],[0.7609657],[0.16390268],[0.09674674],[0.01430835],[0.00036174]
14,[0.48157787],[0.00935771],[0.01067466],[0.75943208],[0.14565345],[0.12552196],[0.01657712],[0.00695243]
15,[0.49391904],[0.02025234],[0.03070003],[0.75811544],[0.12212524],[0.15131236],[0.01865143],[0.00185091]
16,[0.48733736],[0.01428968],[0.02213873],[0.75856712],[0.13413102],[0.14057454],[0.01867597],[0.01197221]
