,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.72763941],[0.0043405],[0.02626163],[0.76621528],[0.17533481],[0.04477659],[0.00610909],[0.00538874]
1,[0.7212219],[0.00353113],[0.01498836],[0.76611027],[0.17116139],[0.04309987],[0.00749379],[0.00367333]
2,[0.7076344],[0.00429686],[0.00105444],[0.76479298],[0.17039049],[0.04972939],[0.00832422],[0.00305973]
3,[0.68377045],[0.0212947],[0.01750116],[0.76288165],[0.17194374],[0.08274326],[0.01423678],[0.0003977]
4,[0.74308906],[0.01200776],[0.04030891],[0.76826499],[0.1766775],[0.04293768],[0.00312163],[0.00185199]
5,[0.71457267],[0.00067662],[0.00570748],[0.76564617],[0.16948687],[0.04460696],[6.71982944e-05],[0.00372499]
6,[0.73518097],[0.0080522],[0.03394749],[0.76713701],[0.17614391],[0.04397224],[0.00334571],[0.00091685]
7,[0.70127748],[0.00833481],[0.0078378],[0.7642537],[0.17031839],[0.0554794],[0.00981562],[0.00150043]
8,[0.74969369],[0.00967671],[0.05189872],[0.76808266],[0.18470811],[0.04805869],[0.00172309],[0.00993317]
9,[0.68377045],[0.0212947],[0.01750116],[0.76288165],[0.17194374],[0.08274326],[0.01423678],[0.0003977]
10,[0.69501682],[0.01307937],[0.01252214],[0.76363131],[0.1711992],[0.06360157],[0.01036074],[0.00601418]
11,[0.68936721],[0.01679354],[0.01641188],[0.76331902],[0.17103773],[0.07213631],[0.00385934],[0.00166097]
12,[0.67771719],[0.02814406],[0.01424799],[0.76194853],[0.17570084],[0.09679471],[0.00567938],[0.00178832]
