,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.64419646],[0.01439373],[0.06887859],[0.76112684],[0.21716158],[0.07068115],[0.01803776],[0.01803108]
1,[0.60395964],[0.02562694],[0.01979641],[0.77030913],[0.1636657],[0.02645054],[0.00992396],[0.00764479]
2,[0.6372564],[0.01870582],[0.01866055],[0.7685532],[0.16645853],[0.03159528],[0.01245439],[0.01292545]
3,[0.67075955],[0.01014002],[0.01803117],[0.76651587],[0.17119687],[0.03882055],[0.00276296],[0.00263167]
4,[0.70735598],[0.00634962],[0.00131097],[0.76586702],[0.16510223],[0.04225371],[0.00275102],[0.01087734]
5,[0.7170623],[0.0071674],[0.00960289],[0.76629875],[0.15908182],[0.04326402],[0.00047758],[0.00339284]
6,[0.7330477],[0.00293332],[0.01470227],[0.76560546],[0.15911787],[0.0511574],[0.00892117],[0.01418213]
7,[0.77486072],[0.01741975],[0.00281004],[0.7611845],[0.17796513],[0.07761484],[0.00889129],[0.00578113]
8,[0.77568978],[0.01550199],[0.01123389],[0.76204198],[0.17114444],[0.08181457],[0.01212665],[0.00595598]
9,[0.76915049],[0.01057896],[0.02066565],[0.76363614],[0.16109925],[0.08369678],[0.00082174],[0.00517768]
10,[0.78150637],[0.01755735],[0.01663593],[0.76247484],[0.16493569],[0.09896501],[0.00375951],[0.00066357]
11,[0.79143283],[0.02417568],[0.01115666],[0.76142398],[0.16852329],[0.11426418],[0.01360294],[0.00437647]
12,[0.67218699],[0.01892508],[0.00108892],[0.76866699],[0.1555131],[0.02870498],[0.00566608],[0.00845638]
