,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.21902748],[0.01776062],[0.01454841],[0.76989773],[0.15562094],[0.03019573],[0.00099639],[0.00896381]
1,[0.1312204],[0.02752439],[0.01034989],[0.7613489],[0.18780342],[0.07118005],[0.01613283],[0.01320099]
2,[0.25396619],[0.02260843],[0.03073255],[0.77086326],[0.1608106],[0.0342447],[0.00737038],[0.02023828]
3,[0.18262116],[0.00615786],[0.0017635],[0.76794849],[0.15872059],[0.03621141],[0.01480714],[0.02460085]
4,[0.13001523],[0.0169072],[0.01134205],[0.76457299],[0.17079348],[0.06256225],[0.00789212],[0.01074849]
5,[0.1312204],[0.02752439],[0.01034989],[0.7613489],[0.18780342],[0.07118005],[0.01613283],[0.01320099]
6,[0.26503732],[0.01090686],[0.08189173],[0.76358316],[0.21217088],[0.07817493],[0.01045376],[0.00264674]
7,[0.23010782],[0.01264591],[0.0311249],[0.76853059],[0.16708894],[0.04003114],[0.00681814],[0.01702537]
8,[0.16539392],[0.00013359],[0.00450573],[0.76704638],[0.16100219],[0.04185489],[0.00070422],[0.02752266]
9,[0.27599951],[0.0291139],[0.03234152],[0.77256645],[0.15861593],[0.03179514],[0.00691782],[0.03454956]
10,[0.19583126],[0.00636225],[0.01414059],[0.76754641],[0.16367892],[0.03845392],[0.01097297],[0.00421538]
11,[0.10368627],[0.02702456],[0.01947063],[0.76395324],[0.17353076],[0.08224011],[0.01194936],[0.00607807]
