,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.61427461],[0.00423947],[0.01708999],[0.76251944],[0.16444818],[0.06532509],[0.00970615],[0.00155296]
1,[0.60701921],[0.00206837],[0.01434474],[0.76152194],[0.16266028],[0.07818171],[0.01175589],[0.00363852]
2,[0.60064012],[0.00104416],[0.01097393],[0.7607992],[0.15968505],[0.09025487],[0.01371657],[0.00343637]
3,[0.59537579],[0.00174183],[0.00780858],[0.76049476],[0.15488183],[0.10058804],[0.01044635],[0.00296572]
4,[0.59029955],[0.00187891],[0.00292085],[0.76006572],[0.15091011],[0.11142328],[0.0139257],[0.00128745]
5,[0.58484173],[0.00015194],[0.00466198],[0.7592001],[0.14926587],[0.12405626],[0.01623906],[0.00327702]
6,[0.58015335],[0.00058765],[0.01177423],[0.75858561],[0.14666379],[0.13517377],[0.01576517],[0.00170994]
7,[0.66248913],[0.00426771],[0.01088097],[0.76513599],[0.19271858],[0.02408212],[0.00665868],[0.0024532]
8,[0.65397892],[0.00626888],[0.00224387],[0.76523853],[0.18545118],[0.02599414],[0.00823861],[0.00673368]
9,[0.64472029],[0.00477885],[0.00275583],[0.76448057],[0.18237709],[0.032492],[0.00825101],[0.00470488]
10,[0.63564336],[0.00256494],[0.00638846],[0.76352182],[0.18020344],[0.04100204],[0.0108918],[0.00475654]
11,[0.62810224],[0.00328926],[0.01178291],[0.76323843],[0.17463237],[0.04777972],[0.01151846],[0.0027048]
12,[0.62084012],[0.00347124],[0.01505767],[0.76281285],[0.16981642],[0.05635726],[0.01263889],[0.00246349]
13,[0.67254794],[0.00549965],[0.01581137],[0.76575185],[0.19610649],[0.01942608],[0.0049168],[0.00245672]
14,[0.56867607],[0.00139986],[0.03235251],[0.75718114],[0.13833813],[0.16363852],[0.01717004],[0.00527805]
15,[0.57600524],[0.00086437],[0.01866243],[0.75809852],[0.14371401],[0.14525191],[0.01490587],[0.00579292]
16,[0.57212279],[0.00128403],[0.02572685],[0.75759401],[0.14110954],[0.1549211],[0.01685093],[0.00592569]
17,[0.56614883],[5.59750536e-05],[0.03722475],[0.7571415],[0.13408712],[0.17003824],[0.01964947],[0.00483974]
