,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[11.77681382],[0.00168273],[0.00162558],[0.78119652],[0.1128323],[0.02759791],[0.0144356],[0.01404294]
1,[12.26082783],[0.03613574],[0.03619506],[0.77290776],[0.15498886],[0.00923884],[0.05286467],[0.01626473]
2,[11.76692584],[0.00245532],[0.00239822],[0.78136585],[0.11197108],[0.02835045],[0.01365053],[0.01467445]
3,[11.47601969],[0.0251853],[0.02512949],[0.78634763],[0.0866338],[0.05049038],[0.00944643],[0.0049432]
4,[10.77161046],[0.08022436],[0.08017171],[0.79841067],[0.02528131],[0.10410069],[0.06537413],[0.00413885]
5,[11.81935805],[0.00164147],[0.00169881],[0.78046795],[0.11653781],[0.02436],[0.01781347],[0.01511268]
6,[12.36414733],[0.04420862],[0.0442684],[0.77113841],[0.16398776],[0.01710215],[0.06106788],[0.01723107]
7,[11.93862057],[0.01096006],[0.01101793],[0.77842557],[0.12692532],[0.01528332],[0.02728251],[0.0194514]
8,[11.72407151],[0.00580375],[0.00574684],[0.78209974],[0.10823857],[0.03161195],[0.01024804],[0.01234562]
9,[11.13515239],[0.05181899],[0.05176471],[0.792185],[0.05694501],[0.07643269],[0.03651014],[0.00578258]
10,[11.77549898],[0.00178546],[0.00172832],[0.78121904],[0.11271778],[0.02769798],[0.01433121],[0.01199833]
11,[12.39105087],[0.04631073],[0.04637063],[0.77067769],[0.166331],[0.01914969],[0.06320393],[0.0155313]
12,[12.01949476],[0.01727917],[0.0173374],[0.7770406],[0.13396928],[0.00912824],[0.03370364],[0.01669244]
13,[11.88087494],[0.0064481],[0.00650571],[0.77941447],[0.1218958],[0.01967815],[0.0226977],[0.01321496]
14,[11.40943124],[0.03038819],[0.03033268],[0.78748796],[0.08083409],[0.05555821],[0.01473333],[0.0110961]
15,[11.7399678],[0.00456169],[0.00450471],[0.78182751],[0.1096231],[0.03040214],[0.01151015],[0.01223578]
16,[12.37787546],[0.04528127],[0.04534111],[0.77090332],[0.16518345],[0.01814695],[0.06215785],[0.01441419]
17,[12.0752887],[0.02163863],[0.02169712],[0.77608513],[0.13882881],[0.00488195],[0.03813349],[0.01807225]
18,[11.98850589],[0.01485785],[0.01491595],[0.77757129],[0.13127022],[0.01148671],[0.03124323],[0.01649249]
19,[11.59083866],[0.01621391],[0.01615759],[0.78438135],[0.09663428],[0.04175188],[0.0003302],[0.01467423]
20,[11.67755316],[0.00943847],[0.00938176],[0.78289637],[0.10418692],[0.03515232],[0.00655464],[0.01110816]
21,[12.34923545],[0.04304348],[0.04310319],[0.77139378],[0.16268897],[0.01596726],[0.05988393],[0.01556541]
22,[12.08940449],[0.02274157],[0.02280012],[0.77584339],[0.14005826],[0.00380764],[0.03925424],[0.01817688]
23,[12.03455131],[0.01845561],[0.01851391],[0.77678276],[0.13528067],[0.00798234],[0.03489908],[0.01734645]
24,[11.70886061],[0.00699226],[0.00693541],[0.78236022],[0.10691373],[0.03276961],[0.00904034],[0.01688957]
