,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.01498204],[0.00860026],[0.00556594],[0.76522454],[0.17540077],[0.03244507],[0.0029412],[0.00378158]
1,[0.03397277],[0.01118768],[0.00624727],[0.76654823],[0.18218545],[0.02189441],[0.00586927],[0.00620003]
2,[0.00189861],[0.00507496],[0.01840008],[0.76286034],[0.16094984],[0.06683896],[0.00744918],[0.00099612]
3,[0.00334617],[0.00668861],[0.01505501],[0.7640134],[0.16810534],[0.04733677],[0.00813181],[0.00167724]
4,[0.00014183],[0.00246314],[0.00966988],[0.76111804],[0.15163356],[0.10108273],[0.01050663],[0.00052272]
5,[0.02229682],[0.00855938],[0.0015829],[0.76557923],[0.18036085],[0.02801977],[0.00265608],[0.00514751]
6,[0.00836455],[0.00764786],[0.01094597],[0.76462335],[0.17169844],[0.03920415],[0.00366997],[0.003417]
7,[0.05507873],[0.00858376],[0.02213036],[0.76656095],[0.1952619],[0.01931338],[0.00050215],[0.00667647]
8,[6.50496975e-05],[0.00594083],[0.01772249],[0.76345064],[0.16438735],[0.05650815],[0.00611809],[0.00023118]
9,[0.00166569],[0.00505793],[0.01800909],[0.76247631],[0.15668172],[0.07699142],[0.00611057],[0.00218014]
10,[0.0061648],[0.00044771],[0.00275069],[0.7599387],[0.14662939],[0.12426576],[0.0100071],[0.00345442]
11,[0.03890878],[0.0050355],[0.01955746],[0.76542409],[0.1945468],[0.02550857],[0.00526547],[2.87383685e-05]
12,[0.00073153],[0.00034957],[0.00207038],[0.76008964],[0.15111705],[0.11481921],[0.01201684],[0.00121305]
13,[0.01326202],[0.00427087],[0.02000308],[0.75815945],[0.14544195],[0.1489838],[0.01456797],[0.00294317]
14,[0.00801617],[0.00322926],[0.01257516],[0.75872578],[0.14745577],[0.13835178],[0.01364697],[0.0034601]
15,[0.00166569],[0.00505793],[0.01800909],[0.76247631],[0.15668172],[0.07699142],[0.00611057],[0.00218014]
16,[0.02811365],[0.00390226],[0.03230456],[0.7576617],[0.13916973],[0.16574036],[0.01558465],[0.00628012]
17,[0.02078153],[0.00368807],[0.02581079],[0.75799903],[0.14176076],[0.15719839],[0.01590306],[0.00174919]
18,[0.00261737],[0.00262681],[0.01346819],[0.761522],[0.15538501],[0.09019649],[0.00707599],[0.00017083]
