,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.54490232],[0.02150358],[0.01562729],[0.75980005],[0.22768993],[0.02745333],[0.01492223],[0.01317642]
1,[0.49108067],[0.01115738],[0.04662421],[0.76718634],[0.18378912],[0.00534445],[0.0091962],[0.02657367]
2,[0.49873882],[0.00144833],[0.03588478],[0.76441144],[0.19077568],[0.02713707],[0.00610776],[0.00864766]
3,[0.48620041],[0.00362135],[0.03540584],[0.76428023],[0.18364143],[0.03766945],[0.01094506],[0.00641972]
4,[0.4623728],[0.01202872],[0.03964868],[0.76550827],[0.16925513],[0.04216562],[0.00470116],[0.00773685]
5,[0.45886532],[0.00544302],[0.02799056],[0.76308493],[0.17274808],[0.06274757],[0.01832697],[0.00292776]
6,[0.44036727],[0.00789131],[0.02396399],[0.76274139],[0.16571273],[0.07374776],[0.0128893],[0.00603063]
7,[0.44695332],[0.00811368],[0.00075415],[0.75792508],[0.18046104],[0.10467583],[0.01927935],[0.00731377]
8,[0.41625044],[0.00087994],[0.00162757],[0.75907725],[0.16607495],[0.10788851],[0.01694235],[0.00304281]
9,[0.38452346],[0.01005209],[0.00246835],[0.76027962],[0.15172173],[0.11011635],[0.01854375],[0.00357781]
10,[0.36600391],[0.00923694],[0.00679531],[0.75907435],[0.14919414],[0.1227974],[0.02103981],[0.00152859]
11,[0.33974929],[0.01353929],[0.01074037],[0.75913045],[0.14091973],[0.12894315],[0.01534573],[0.00123356]
12,[0.31525334],[0.01621375],[0.01605791],[0.75881819],[0.13472727],[0.13615687],[0.01814266],[0.00438208]
13,[0.27310979],[0.01557934],[0.03174447],[0.75682363],[0.12977693],[0.15529819],[0.02465373],[0.01046527]
14,[0.56439979],[0.0331841],[0.00437764],[0.75712045],[0.24660943],[0.02916222],[0.01589828],[0.01471486]
15,[0.29294603],[0.01696605],[0.02299066],[0.7580672],[0.13093701],[0.14483352],[0.01619349],[0.00746166]
16,[0.24885523],[0.01745339],[0.03662879],[0.75642431],[0.12504271],[0.16124675],[0.0244887],[0.00961287]
