,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.18641725],[0.01101609],[0.02310728],[0.7637989],[0.15817454],[0.05958548],[0.00646309],[0.00022871]
1,[0.21803335],[0.00958643],[0.0028745],[0.75843509],[0.17770972],[0.09213767],[0.01237344],[0.01017712]
2,[0.21227836],[0.00042354],[0.01036883],[0.76018697],[0.16265328],[0.0930454],[0.00674745],[0.00383903]
3,[0.21585228],[0.0001891],[0.00754229],[0.75980558],[0.15820504],[0.10375502],[0.01246891],[0.01050532]
4,[0.21546816],[0.00219206],[0.00562393],[0.75994727],[0.15147826],[0.11197194],[0.00951345],[0.00246183]
5,[0.21468502],[0.0038772],[0.00211467],[0.7599326],[0.14576988],[0.12063696],[0.0086945],[0.00110905]
6,[0.21874911],[0.00065247],[0.00692937],[0.75874573],[0.14590327],[0.13442087],[0.01450307],[2.68251477e-05]
7,[0.13838472],[0.01484014],[0.02859323],[0.75994447],[0.21908283],[0.04671877],[0.01778351],[0.01941675]
8,[0.11428243],[0.02206924],[0.01396655],[0.76837665],[0.16960495],[0.01227941],[0.01035062],[0.00742061]
9,[0.13945397],[0.01360853],[0.01090098],[0.76603152],[0.17459088],[0.02569281],[0.00747042],[0.01278829]
10,[0.15837568],[0.00909575],[0.01162205],[0.76458619],[0.1748914],[0.03631654],[0.00694886],[0.00211905]
11,[0.15796669],[0.01949071],[0.02643974],[0.76666037],[0.15765528],[0.03263605],[0.00049704],[0.00960829]
12,[0.17567285],[0.01300721],[0.02329236],[0.76470174],[0.16050033],[0.04794472],[0.01316415],[0.00272428]
13,[0.12236195],[0.01839426],[0.03678085],[0.75936445],[0.22872152],[0.04722344],[0.01107838],[0.01245245]
14,[0.22331606],[0.00764551],[0.03404661],[0.7555912],[0.14579178],[0.17125783],[0.01729181],[0.00273375]
15,[0.22915984],[0.00864014],[0.02249692],[0.75610265],[0.15315054],[0.15470113],[0.01855066],[0.01536259]
16,[0.2194645],[0.00221945],[0.02226366],[0.75727317],[0.14261989],[0.15644973],[0.01672004],[0.00151594]
17,[0.2081697],[0.00194683],[0.03020819],[0.75757038],[0.13208438],[0.16797201],[0.00256126],[0.02812693]
