,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.66571015],[0.57344637],[0.55920539],[0.91855323],[0.60118769],[0.63342194],[0.53866239],[0.56853654]
1,[0.0469353],[0.21610992],[0.25671113],[0.76779421],[0.13701905],[0.04511878],[0.31527948],[0.07668392]
2,[0.05617536],[0.20431962],[0.24452719],[0.77004547],[0.12599554],[0.03498626],[0.30252772],[0.07783025]
3,[0.08638562],[0.16577135],[0.20469194],[0.77740593],[0.08995429],[0.00185807],[0.26083598],[0.04755872]
4,[0.03504149],[0.23128642],[0.2723943],[0.76489639],[0.15120853],[0.05816139],[0.33169357],[0.09432847]
5,[0.09153104],[0.1592058],[0.19790719],[0.77865957],[0.08381574],[0.00378434],[0.25373502],[0.04917926]
6,[0.70096814],[0.61843555],[0.60569659],[0.92714353],[0.64325096],[0.67208542],[0.58732028],[0.30040609]
7,[0.0419802],[0.22243263],[0.26324492],[0.76658695],[0.14293055],[0.05055249],[0.32211778],[0.07930679]
8,[0.0348449],[0.23153726],[0.27265353],[0.7648485],[0.15144306],[0.05837697],[0.33196487],[0.08161464]
9,[0.03291798],[0.23399602],[0.27519437],[0.76437902],[0.15374191],[0.06049001],[0.33462413],[0.08140931]
10,[0.57953634],[0.46348865],[0.44557661],[0.89755775],[0.49838118],[0.53892483],[0.419738],[0.51451769]
11,[0.06609979],[0.19165605],[0.23144084],[0.77246347],[0.11415556],[0.02410325],[0.28883149],[0.06603056]
12,[0.04758297],[0.2152835],[0.25585712],[0.76795201],[0.13624638],[0.04440856],[0.31438567],[0.0876426]
13,[0.01555682],[0.25614885],[0.2980868],[0.76014912],[0.17445401],[0.07952804],[0.35858345],[0.10723712]
14,[0.1228708],[0.11921628],[0.15658258],[0.78629523],[0.04642698],[0.03815113],[0.2104845],[0.01905667]
15,[0.03443808],[0.23205638],[0.27318997],[0.76474938],[0.15192841],[0.05882309],[0.33252632],[0.08684083]
16,[0.05179353],[0.20991083],[0.25030507],[0.76897788],[0.13122312],[0.03979131],[0.30857488],[0.07199144]
17,[0.03488855],[0.23148157],[0.27259598],[0.76485913],[0.15139099],[0.0583291],[0.33190464],[0.07486445]
18,[0.03180901],[0.23541106],[0.27665665],[0.76410883],[0.15506492],[0.06170609],[0.33615456],[0.09136577]
19,[0.05892339],[0.20081314],[0.24090364],[0.770715],[0.12271711],[0.03197281],[0.2987353],[0.05798186]
20,[0.03326019],[0.23355936],[0.27474313],[0.76446239],[0.15333364],[0.06011474],[0.33415186],[0.07611463]
21,[0.02690059],[0.2416742],[0.2831289],[0.76291293],[0.16092073],[0.0670886],[0.34292845],[0.09358812]
22,[0.06370846],[0.19470739],[0.23459404],[0.77188085],[0.11700845],[0.02672555],[0.29213165],[0.07177699]
23,[0.03273659],[0.23422748],[0.27543356],[0.76433482],[0.15395831],[0.06068892],[0.33487447],[0.07848925]
24,[0.04262399],[0.22161116],[0.26239603],[0.7667438],[0.14216251],[0.04984652],[0.32122933],[0.08125665]
25,[0.03031683],[0.23731509],[0.27862425],[0.76374527],[0.15684511],[0.0633424],[0.33821386],[0.09968656]
26,[0.04514989],[0.21838811],[0.25906537],[0.76735921],[0.13914907],[0.04707665],[0.31774345],[0.08229645]
27,[0.03333086],[0.23346918],[0.27464995],[0.76447961],[0.15324934],[0.06003725],[0.33405434],[0.08026807]
28,[0.67687277],[0.58768987],[0.57392443],[0.92127291],[0.61450485],[0.64566273],[0.5540674],[0.18970234]
29,[0.02136755],[0.24873436],[0.29042477],[0.76156486],[0.16752173],[0.07315606],[0.35056433],[0.0989147]
30,[0.04237219],[0.22193245],[0.26272804],[0.76668245],[0.1424629],[0.05012263],[0.32157682],[0.08971724]
31,[0.0867425],[0.16531596],[0.20422135],[0.77749289],[0.08952852],[0.00146671],[0.26034345],[0.05378582]
32,[0.0899343],[0.16124323],[0.20001265],[0.77827054],[0.08572067],[0.00203338],[0.2559386],[0.05960114]
33,[0.05392142],[0.20719564],[0.24749923],[0.76949632],[0.12868451],[0.03745789],[0.30563827],[0.05549788]
