,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.36970075],[0.02344885],[0.00679582],[0.75911121],[0.18725121],[0.08466287],[0.01615798],[0.01367256]
1,[0.37746539],[0.00049408],[0.02305539],[0.76503975],[0.15485175],[0.06564755],[0.00393567],[0.01503266]
2,[0.46495532],[0.01837902],[0.02714133],[0.7685455],[0.17490486],[0.03233086],[0.00675321],[0.011753]
3,[0.43660673],[0.01051285],[0.01904387],[0.76642678],[0.1733279],[0.03773876],[0.01246183],[0.00250902]
4,[0.40773916],[0.01232961],[0.01172289],[0.76708098],[0.15545104],[0.03805879],[0.00067682],[0.0034815]
5,[0.39022863],[0.00268466],[0.0057521],[0.7637449],[0.16799852],[0.05751669],[0.01506324],[0.00711189]
6,[0.46668734],[0.00307638],[0.05573311],[0.76377685],[0.20620358],[0.05622198],[0.00021706],[0.0150533]
7,[0.41762456],[0.0035902],[0.02392229],[0.76310005],[0.18459674],[0.05199651],[0.01498867],[0.01571214]
8,[0.41996676],[0.01752409],[0.00736423],[0.76816208],[0.15445294],[0.03051463],[0.00663219],[0.00700514]
9,[0.43488907],[0.01340685],[0.05263817],[0.76086629],[0.20729162],[0.06415305],[0.01834348],[0.0276406]
10,[0.35494338],[0.01624452],[0.01393015],[0.76179345],[0.16541535],[0.09896782],[0.01000718],[0.00367299]
11,[0.34909801],[0.01745001],[0.0136056],[0.76188827],[0.1627275],[0.10866642],[0.01117567],[0.00019961]
12,[0.357199],[0.02173621],[0.00592412],[0.76014697],[0.17601791],[0.09681009],[0.01342756],[0.01491608]
13,[0.33245162],[0.03016644],[0.001557],[0.7597135],[0.1696754],[0.13955707],[0.01590389],[0.00647093]
14,[0.3383989],[0.02710151],[0.00348944],[0.76002452],[0.1698675],[0.12773621],[0.01755196],[0.00106815]
