,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
53,[0.83604652],[0.00303413],[0.00452836],[0.78005915],[0.10651285],[0.02523999],[0.00994414],[0.00861325]
54,[0.83638266],[0.00097764],[0.00246881],[0.78051009],[0.10424421],[0.02723851],[0.01197402],[0.00441114]
55,[0.82625434],[0.06294065],[0.06452413],[0.76692312],[0.17259967],[0.03297785],[0.04918724],[0.01540903]
56,[0.82925163],[0.04460388],[0.04616005],[0.77094392],[0.15237118],[0.01515798],[0.03108774],[0.01479561]
57,[0.8321231],[0.02703677],[0.02856676],[0.77479596],[0.13299175],[0.00191395],[0.01374793],[0.01243858]
58,[0.83469852],[0.01128089],[0.01278741],[0.77825084],[0.1156104],[0.01722569],[0.00180409],[0.00752299]
59,[0.83392919],[0.01598748],[0.01750102],[0.7772188],[0.12080255],[0.01265177],[0.00284161],[0.00662542]
60,[0.82611254],[0.06380818],[0.06539296],[0.76673289],[0.17355671],[0.03382093],[0.05004356],[0.01580097]
61,[0.82915248],[0.04521044],[0.04676751],[0.77081092],[0.15304032],[0.01574744],[0.03168645],[0.01553694]
62,[0.83159491],[0.03026817],[0.03180298],[0.77408739],[0.13655652],[0.00122637],[0.01693752],[0.013815]
63,[0.83368307],[0.01749318],[0.01900896],[0.77688864],[0.12246359],[0.01118851],[0.00432782],[0.01049746]
64,[0.83248369],[0.02483078],[0.02635749],[0.77527968],[0.13055818],[0.00405775],[0.01157049],[0.009119]
65,[0.82601948],[0.06437752],[0.06596314],[0.76660805],[0.17418479],[0.03437423],[0.05060553],[0.02026734]
66,[0.82945104],[0.04338388],[0.04493823],[0.77121144],[0.15102532],[0.01397237],[0.02988353],[0.01655303]
67,[0.83196728],[0.02799009],[0.0295215],[0.77458692],[0.13404342],[0.0009875],[0.01468891],[0.01371263]
68,[0.83365344],[0.01767447],[0.01919052],[0.77684888],[0.12266358],[0.01101233],[0.00450677],[0.00945436]
69,[0.83146722],[0.0310493],[0.03258527],[0.77391611],[0.13741823],[0.00198548],[0.01770854],[0.01156803]
