,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.14714253],[0.01139049],[0.00369896],[0.75940264],[0.17586142],[0.08856894],[0.0090567],[0.01486347]
1,[0.17118305],[0.01319066],[0.03382613],[0.76001683],[0.20889944],[0.0568165],[0.01996042],[0.03359744]
2,[0.16866304],[0.01431563],[0.03014585],[0.76539994],[0.14153747],[0.07005057],[0.00924458],[0.02053609]
3,[0.17303994],[0.01525237],[0.02253668],[0.76601626],[0.15431415],[0.04395484],[0.00141654],[0.00145749]
4,[0.207577],[0.02066499],[0.00597571],[0.76826259],[0.17386863],[0.02010281],[0.00509568],[0.01788346]
5,[0.15987198],[0.00230012],[0.01426684],[0.762792],[0.16462972],[0.06526094],[0.00957754],[0.00246941]
6,[0.16962264],[0.00140411],[0.00413537],[0.76306589],[0.18077014],[0.04739791],[0.01605431],[0.01651151]
7,[0.1786821],[0.01789856],[0.01928425],[0.76680434],[0.15616692],[0.03493027],[0.0089155],[0.00243979]
8,[0.23678758],[0.03017542],[0.00615241],[0.77101775],[0.17313563],[0.00808102],[0.0072614],[0.03527484]
9,[0.15444672],[0.00545686],[0.00798618],[0.76048949],[0.1559971],[0.11106109],[0.01124122],[0.00098901]
10,[0.14870009],[0.01029949],[0.00533651],[0.75943293],[0.16570007],[0.10653738],[0.01481708],[0.00881194]
11,[0.1999186],[0.00160867],[0.03469316],[0.76324293],[0.20608022],[0.04227195],[0.00254477],[0.00462892]
12,[0.18441037],[0.01197864],[0.00084649],[0.76576786],[0.17351986],[0.03283297],[0.01254736],[0.00566918]
13,[0.16298656],[0.00197716],[0.00380716],[0.76115624],[0.14442347],[0.1262943],[0.0045667],[0.00936555]
14,[0.15923397],[0.01106245],[0.01014497],[0.75892223],[0.15129512],[0.14558517],[0.01017266],[0.00306455]
15,[0.15838243],[0.00369561],[0.00637037],[0.76082307],[0.15007398],[0.11881203],[0.00875283],[0.00195368]
16,[0.16022208],[0.01520019],[0.01956767],[0.75787495],[0.15269408],[0.15890345],[0.01564944],[0.00035937]
17,[0.1517608],[0.0314944],[0.04144047],[0.7539344],[0.16803423],[0.18573352],[0.02852073],[0.02073159]
