,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.52404675],[0.00318892],[0.00181154],[0.75945375],[0.14824926],[0.11929481],[0.01440468],[0.00221356]
1,[0.56381025],[0.00679107],[5.30850109e-05],[0.7655608],[0.18739839],[0.02081276],[0.0051157],[9.99818134e-05]
2,[0.54271604],[0.00582536],[0.01778949],[0.7634295],[0.16969753],[0.05045524],[0.00257987],[0.00185931]
3,[0.52683327],[0.00488758],[0.00589048],[0.760411],[0.14995399],[0.10635074],[0.01213998],[0.00115877]
4,[0.53525347],[0.00570102],[0.01818378],[0.76229225],[0.16104088],[0.07146205],[0.00660014],[0.00042916]
5,[0.5226805],[0.00383149],[0.00770337],[0.75907484],[0.14402636],[0.12918893],[0.01434909],[0.00340227]
6,[0.52028815],[0.00175882],[0.0166121],[0.75805527],[0.14310057],[0.14164492],[0.01743193],[0.00495545]
7,[0.55749135],[0.00595766],[0.00510807],[0.7649509],[0.18358773],[0.02698723],[0.00712312],[0.00175925]
8,[0.5471251],[0.00584485],[0.01487489],[0.76396241],[0.17426645],[0.04140572],[0.00513174],[0.00221896]
9,[0.57643635],[0.00463086],[0.01366209],[0.76568626],[0.19959914],[0.01469074],[0.00445345],[0.01189519]
10,[0.56814518],[0.00179915],[0.01108734],[0.76473716],[0.19820229],[0.02151351],[0.0064302],[0.00076289]
11,[0.52873479],[0.00402794],[0.01017294],[0.76076228],[0.15479166],[0.09597069],[0.00786564],[0.00107555]
12,[0.55211951],[0.00605772],[0.01067364],[0.76451279],[0.17870527],[0.03338636],[0.0065203],[0.00150279]
13,[0.53888888],[0.0060385],[0.01918007],[0.76293246],[0.16497708],[0.06028874],[0.00226178],[0.00124976]
14,[0.53258852],[0.0065387],[0.01659766],[0.76192839],[0.15588875],[0.08180715],[0.00747073],[0.00252983]
15,[0.51857082],[0.0039865],[0.03437112],[0.75716315],[0.1317348],[0.16571916],[0.01831229],[0.00397041]
16,[0.51854507],[0.00244044],[0.02949132],[0.757243],[0.13625717],[0.15926557],[0.01751621],[0.00547284]
17,[0.51941392],[0.00232847],[0.02288116],[0.75769428],[0.13932655],[0.15050436],[0.0162867],[0.01017375]
