,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.4904027],[0.11663867],[0.11890566],[0.76375726],[0.13116054],[0.0915383],[0.13723734],[0.00267634]
1,[0.4879054],[0.1221108],[0.1243889],[0.76259955],[0.13670383],[0.09688742],[0.14281041],[0.00291226]
2,[0.49683693],[0.10253987],[0.10477823],[0.76674009],[0.11687838],[0.07775642],[0.12287846],[0.00324448]
3,[0.49811306],[0.09974359],[0.10197627],[0.76733169],[0.11404573],[0.07502299],[0.12003059],[0.00108016]
4,[0.51235173],[0.06854357],[0.07071291],[0.77393255],[0.08243996],[0.0445243],[0.08825502],[0.00505585]
5,[0.48834446],[0.12114872],[0.12342486],[0.76280309],[0.13572923],[0.09594696],[0.14183058],[0.00418964]
6,[0.48763519],[0.12270289],[0.12498219],[0.76247428],[0.13730362],[0.0974662],[0.14341342],[0.00432972]
7,[0.49778669],[0.10045875],[0.10269288],[0.76718038],[0.11477019],[0.07572207],[0.12075894],[0.01264024]
8,[0.49307207],[0.11078951],[0.11304462],[0.76499475],[0.12523531],[0.08582062],[0.13128028],[0.09058245]
9,[0.49073108],[0.11591911],[0.11818464],[0.7639095],[0.13043162],[0.09083491],[0.1365045],[0.00422603]
10,[0.48982902],[0.11789572],[0.12016526],[0.76349131],[0.13243394],[0.09276709],[0.13851757],[0.00156499]
11,[0.49392518],[0.10892015],[0.11117146],[0.76539024],[0.12334163],[0.08399327],[0.12937643],[0.00157722]
12,[0.49223623],[0.11262101],[0.11487984],[0.76460726],[0.12709063],[0.08761095],[0.13314556],[0.00344181]
13,[0.50161466],[0.09207084],[0.09428794],[0.76895498],[0.1062732],[0.06752271],[0.1122163],[0.00390501]
14,[0.48970083],[0.11817662],[0.12044673],[0.76343188],[0.13271849],[0.09304168],[0.13880366],[0.00521666]
15,[0.52080315],[0.05002466],[0.05215641],[0.77785052],[0.06368021],[0.02642167],[0.06939449],[0.0013499]
16,[0.49175206],[0.11368194],[0.11594292],[0.76438281],[0.12816535],[0.08864802],[0.13422606],[0.00463192]
17,[0.51716147],[0.05800439],[0.06015234],[0.77616228],[0.07176372],[0.03422203],[0.07752143],[0.01274415]
18,[0.48723724],[0.12357489],[0.12585595],[0.7622898],[0.13818696],[0.0983186],[0.1443015],[0.00272773]
19,[0.50196378],[0.09130583],[0.09352138],[0.76911683],[0.10549824],[0.0667749],[0.11143718],[0.00323767]
20,[0.48698758],[0.12412194],[0.12640411],[0.76217406],[0.13874112],[0.09885335],[0.14485865],[0.00386729]
21,[0.53089568],[0.02790974],[0.02999659],[0.78252928],[0.04127769],[0.00480386],[0.04687162],[0.00128274]
22,[0.50423226],[0.08633509],[0.08854055],[0.77016847],[0.10046285],[0.06191589],[0.10637474],[0.00400544]
23,[0.52156447],[0.04835645],[0.05048481],[0.77820346],[0.06199031],[0.02479096],[0.06769551],[0.08953432]
24,[0.49809149],[0.09979086],[0.10202364],[0.76732168],[0.11409362],[0.0750692],[0.12007874],[0.00215891]
25,[0.49814051],[0.09968345],[0.10191601],[0.76734441],[0.11398482],[0.07496421],[0.11996934],[0.00105874]
26,[0.49108632],[0.11514072],[0.11740466],[0.76407418],[0.1296431],[0.09007402],[0.13571175],[0.00195095]
27,[0.49001402],[0.11749036],[0.11975908],[0.76357707],[0.1320233],[0.09237084],[0.13810474],[0.00520843]
