,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.59498763],[0.00651211],[0.03917126],[0.76619358],[0.18938769],[0.04029199],[0.00488927],[0.00012332]
1,[0.59000467],[0.00995922],[0.02671862],[0.76671609],[0.18007758],[0.03604156],[0.00321262],[0.00352359]
2,[0.58297423],[0.00688094],[0.02017119],[0.76578295],[0.17857999],[0.03878223],[0.00509115],[0.00117262]
3,[0.5719166],[0.00351222],[0.00346795],[0.76478714],[0.17243716],[0.0437834],[0.00594731],[0.00318446]
4,[0.5671018],[0.001424],[0.00376298],[0.76428615],[0.1699828],[0.04865314],[0.0132796],[0.0027585]
5,[0.56297111],[0.00037643],[0.0101034],[0.76390513],[0.16731508],[0.05473881],[0.00738261],[0.00148866]
6,[0.55885209],[0.00336351],[0.01365741],[0.76328939],[0.16617118],[0.06354377],[0.00611424],[0.00181264]
7,[0.55466508],[0.00762971],[0.01405558],[0.76241115],[0.16665638],[0.07499476],[0.00772707],[0.00439446]
8,[0.55227461],[0.00889051],[0.01536495],[0.76227462],[0.16382445],[0.08423601],[0.01246033],[0.00167854]
9,[0.54922663],[0.0126198],[0.01229425],[0.76158394],[0.16401379],[0.09681133],[0.00931978],[0.00125533]
10,[0.54581062],[0.01807672],[0.00577979],[0.76050971],[0.16635242],[0.11167572],[0.01158913],[0.00444429]
11,[0.54413625],[0.02046239],[0.00081187],[0.76017633],[0.16534509],[0.12333498],[0.01574562],[0.00231964]
12,[0.60310012],[0.00912007],[0.04400924],[0.76718526],[0.19144805],[0.03784014],[0.01018082],[0.01182674]
13,[0.54254958],[0.02341798],[0.00581744],[0.75972269],[0.16517252],[0.13553996],[0.01563688],[0.00144536]
