,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.74451361],[0.01404973],[0.01450388],[0.77850302],[0.12654015],[0.01558386],[0.00596801],[0.00321534]
1,[0.73360142],[0.05736122],[0.05783477],[0.76904257],[0.17465627],[0.02646194],[0.03648849],[0.00801371]
2,[0.74405349],[0.01587598],[0.01633095],[0.77810411],[0.12856899],[0.01381098],[0.00417781],[0.00769272]
3,[0.74963132],[0.00626298],[0.00581793],[0.78293988],[0.10397412],[0.03530297],[0.02587974],[0.00162745]
4,[0.76264202],[0.05790366],[0.05748174],[0.79421966],[0.04660484],[0.08543456],[0.07650101],[0.00787587]
5,[0.74330617],[0.01884215],[0.01929845],[0.77745622],[0.13186421],[0.01093149],[0.0012702],[0.0059778]
6,[0.73163742],[0.06515653],[0.06563358],[0.76733985],[0.18331633],[0.03402945],[0.04412993],[0.00915539]
7,[0.74101343],[0.02794227],[0.02840265],[0.77546849],[0.14197382],[0.0020973],[0.00765029],[0.00854424]
8,[0.74514292],[0.0115519],[0.01200493],[0.77904861],[0.12376524],[0.01800869],[0.00841653],[0.00431873]
9,[0.75598273],[0.03147233],[0.03103856],[0.78844631],[0.07596825],[0.05977562],[0.05059144],[0.01109635]
10,[0.74345777],[0.01824043],[0.01869646],[0.77758765],[0.13119573],[0.01151563],[0.00186004],[0.00541584]
11,[0.73043788],[0.06991761],[0.07039678],[0.7662999],[0.18860556],[0.03865139],[0.04879701],[0.00880161]
12,[0.73888826],[0.03637725],[0.0368414],[0.77362606],[0.15134451],[0.00609118],[0.01591876],[0.00977625]
13,[0.74208118],[0.02370427],[0.02416275],[0.77639419],[0.13726569],[0.00621145],[0.00349595],[0.00734353]
14,[0.75128469],[0.01282534],[0.01238323],[0.78437329],[0.09668378],[0.04167356],[0.03231256],[0.00882155]
15,[0.74457426],[0.01380899],[0.01426304],[0.7785556],[0.12627271],[0.01581756],[0.00620399],[0.00308181]
16,[0.7316471],[0.0651181],[0.06559512],[0.76734825],[0.18327363],[0.03399214],[0.04409225],[0.00484981]
17,[0.73815755],[0.03927752],[0.03974297],[0.77299256],[0.15456651],[0.0089067],[0.01876177],[0.00817102]
18,[0.74060276],[0.02957225],[0.03003335],[0.77511246],[0.14378462],[0.00051495],[0.00924809],[0.00653236]
19,[0.74795621],[0.00038572],[0.00083375],[0.78148762],[0.11136037],[0.02884856],[0.01936229],[0.00979089]
20,[0.74609573],[0.00777011],[0.00822145],[0.77987466],[0.11956392],[0.02167997],[0.01212367],[0.00217763]
21,[0.7329248],[0.06004678],[0.06052153],[0.76845597],[0.17763974],[0.02906902],[0.03912104],[0.00380824]
22,[0.73881631],[0.03666283],[0.03712711],[0.77356368],[0.15166177],[0.00636842],[0.0161987],[0.0056066]
23,[0.74059659],[0.02959672],[0.03005783],[0.77510712],[0.1438118],[0.0004912],[0.00927207],[0.0042688]
24,[0.74706669],[0.0039163],[0.00436591],[0.78071644],[0.1152826],[0.02542116],[0.0159014],[0.00742565]
25,[0.74810471],[0.00020371],[0.00024406],[0.78161637],[0.11070556],[0.02942077],[0.01994008],[4.70132218e-05]
26,[0.73411521],[0.05532196],[0.0557946],[0.769488],[0.17239079],[0.02448227],[0.03448949],[0.00598679]
27,[0.74055542],[0.02976013],[0.03022131],[0.77507142],[0.14399333],[0.00033257],[0.00943226],[0.00320711]
28,[0.74116478],[0.02734154],[0.02780165],[0.77559971],[0.14130645],[0.00268047],[0.00706142],[0.0046906]
29,[0.74731468],[0.00293198],[0.00338116],[0.78093144],[0.1141891],[0.02637671],[0.01686629],[0.00672975]
30,[0.74970772],[0.00656619],[0.00612127],[0.78300611],[0.10363728],[0.03559732],[0.02617696],[0.00024113]
31,[0.73810091],[0.03950234],[0.0399679],[0.77294345],[0.15481627],[0.00912495],[0.01898216],[0.00312205]
32,[0.74233992],[0.02267729],[0.0231353],[0.77661852],[0.13612478],[0.00720843],[0.00248923],[0.00430006]
33,[0.74261978],[0.02156649],[0.02202401],[0.77686114],[0.13489076],[0.00828676],[0.00140037],[0.00515441]
34,[0.74903936],[0.00391342],[0.00346731],[0.78242667],[0.10658432],[0.03302207],[0.02357656],[0.00490748]
35,[0.75223603],[0.0166013],[0.01616088],[0.78519806],[0.09248894],[0.04533918],[0.03601398],[0.00085458]
36,[0.74249316],[0.02206908],[0.02252683],[0.77675136],[0.13544911],[0.00779886],[0.00189304],[0.00172461]
37,[0.74653772],[0.00601581],[0.00646637],[0.78025785],[0.11761502],[0.023383],[0.01384334],[0.00282305]
38,[0.74673369],[0.005238],[0.0056882],[0.78042775],[0.11675092],[0.02413808],[0.01460579],[0.00437023]
39,[0.75208055],[0.0159842],[0.0155435],[0.78506327],[0.09317451],[0.04474011],[0.03540906],[0.00700844]
40,[0.75484182],[0.02694391],[0.02650812],[0.78745718],[0.08099901],[0.05537955],[0.04615242],[0.00713018]
41,[0.7439427],[0.01631569],[0.01677085],[0.77800807],[0.12905748],[0.01338412],[0.00374678],[0.00683492]
42,[0.75262129],[0.01813046],[0.01769072],[0.78553207],[0.09079016],[0.04682365],[0.03751295],[0.00854777]
43,[0.75224428],[0.01663407],[0.01619366],[0.78520522],[0.09245255],[0.04537098],[0.0360461],[0.00058262]
44,[0.75983781],[0.04677349],[0.04634657],[0.79178852],[0.05896971],[0.07462964],[0.06559055],[0.00158861]
45,[0.72119593],[0.04395804],[0.0455861],[0.77039035],[0.1551541],[0.01760488],[0.02344363],[0.00913198]
46,[0.72732334],[0.02101447],[0.02260675],[0.77543659],[0.12976672],[0.00475951],[0.00095092],[0.00778814]
47,[0.73239677],[0.00201745],[0.00358011],[0.77961483],[0.10874625],[0.02327698],[0.0176728],[0.01492258]
48,[0.73831151],[0.02012978],[0.01860167],[0.78448592],[0.08424003],[0.04486513],[0.03938482],[0.00706315]
49,[0.74008623],[0.02677507],[0.02525732],[0.7859475],[0.07688692],[0.05134268],[0.04589954],[0.00527174]
50,[0.72073907],[0.04566872],[0.04729944],[0.7700141],[0.15704698],[0.01927238],[0.02512069],[0.00936852]
51,[0.72572122],[0.02701345],[0.02861508],[0.77411717],[0.13640467],[0.00108804],[0.00683201],[0.01019403]
52,[0.73009174],[0.01064843],[0.01222454],[0.77771652],[0.11829655],[0.01486388],[0.00921143],[0.01181543]
53,[0.73506227],[0.00796328],[0.00641619],[0.78181],[0.09770244],[0.03300576],[0.0274574],[0.00643669]
54,[0.73485082],[0.00717153],[0.00562321],[0.78163587],[0.09857851],[0.032234],[0.02668122],[0.00746386]
55,[0.72030313],[0.04730103],[0.0489343],[0.76965509],[0.15885316],[0.02086348],[0.02672093],[0.01039141]
56,[0.72521863],[0.02889538],[0.03049995],[0.77370326],[0.13848706],[0.00292246],[0.00867696],[0.00828051]
57,[0.72893182],[0.01499166],[0.01657454],[0.77676126],[0.12310239],[0.01063029],[0.00495355],[0.00871286]
58,[0.73280914],[0.00047337],[0.00203362],[0.77995443],[0.10703771],[0.02478208],[0.01918654],[0.0066174]
59,[0.73131551],[0.00606613],[0.00763509],[0.77872436],[0.11322617],[0.01933051],[0.01370369],[0.00702322]
60,[0.7201338],[0.0479351],[0.04956936],[0.76951563],[0.15955477],[0.02148155],[0.02734254],[0.01163]
61,[0.72537652],[0.02830416],[0.02990781],[0.77383329],[0.13783287],[0.00234617],[0.00809736],[0.00778687]
62,[0.7285897],[0.01627269],[0.01785757],[0.77647951],[0.12451987],[0.00938159],[0.00369769],[0.00803271]
63,[0.73161206],[0.00495573],[0.00652296],[0.77896858],[0.1119975],[0.02041287],[0.01479226],[0.00714861]
64,[0.72888013],[0.01518521],[0.0167684],[0.77671869],[0.12331656],[0.01044162],[0.00476379],[0.00861872]
65,[0.72106734],[0.04443953],[0.04606834],[0.77028445],[0.15568687],[0.01807422],[0.02391566],[0.01121925]
66,[0.72622808],[0.02511558],[0.02671426],[0.77453459],[0.13430466],[0.00076192],[0.00497144],[0.0062591]
67,[0.72947577],[0.01295486],[0.01453457],[0.77720924],[0.12084865],[0.01261566],[0.00695032],[0.00563453]
68,[0.7311256],[0.00677722],[0.00834729],[0.77856796],[0.114013],[0.01863736],[0.01300657],[0.00718947]
69,[0.72767874],[0.01968372],[0.02127392],[0.77572928],[0.12829422],[0.00605667],[0.00035369],[0.00869387]
70,[0.72378645],[0.03425806],[0.035871],[0.77252378],[0.14442094],[0.00814977],[0.01393426],[0.00624687]
71,[0.7279581],[0.01863766],[0.02022623],[0.77595936],[0.12713674],[0.00707633],[0.00137919],[0.00384998]
72,[0.73090065],[0.00761952],[0.00919091],[0.7783827],[0.11494502],[0.01781633],[0.01218082],[0.00362833]
73,[0.73289551],[0.00014997],[0.00170971],[0.78002556],[0.10667986],[0.02509732],[0.01950359],[0.00329898]
