,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[20.63950576],[0.0431184],[0.04442567],[0.77244312],[0.15736294],[0.01135854],[0.03163115],[0.01366839]
1,[20.49373868],[0.03609179],[0.03739026],[0.77397598],[0.14956676],[0.00454588],[0.02468192],[0.0108173]
2,[20.18059593],[0.02099695],[0.0222765],[0.77726893],[0.1328187],[0.01008938],[0.00975331],[0.00368866]
3,[19.59365209],[0.0072963],[0.00605221],[0.78344112],[0.10142672],[0.03752118],[0.01822836],[0.00370609]
4,[18.55569478],[0.05733036],[0.05614897],[0.79435608],[0.04591282],[0.08603185],[0.06771143],[0.00700619]
5,[20.74823154],[0.04835946],[0.0496733],[0.77129978],[0.16317801],[0.01644003],[0.03681449],[0.01328006]
6,[20.68686309],[0.04540123],[0.04671137],[0.77194512],[0.15989579],[0.01357187],[0.03388884],[0.01071581]
7,[20.46015146],[0.03447274],[0.03576918],[0.77432918],[0.14777039],[0.00297612],[0.0230807],[0.00703742]
8,[19.99039992],[0.01182867],[0.01309673],[0.77926899],[0.1226463],[0.0189785],[0.000686],[0.00493228]
9,[19.16400995],[0.02800692],[0.02678878],[0.78795915],[0.07844782],[0.05760122],[0.03871091],[0.01117985]
10,[20.76757269],[0.04929178],[0.0506068],[0.7710964],[0.16421245],[0.01734397],[0.03773655],[0.01349448]
11,[20.78293778],[0.05003245],[0.05134839],[0.77093482],[0.16503423],[0.01806208],[0.03846906],[0.01188881]
12,[20.60679837],[0.04154176],[0.04284706],[0.77278707],[0.15561363],[0.00982991],[0.03007187],[0.00866956]
13,[20.26541672],[0.02508568],[0.02637036],[0.77637697],[0.13735524],[0.00612513],[0.01379701],[0.00772871]
14,[19.60300992],[0.00684521],[0.00560055],[0.78334271],[0.10192721],[0.03708383],[0.01778224],[0.01213983]
15,[20.75822265],[0.04884107],[0.05015552],[0.77119472],[0.16371237],[0.01690698],[0.0372908],[0.01544637]
16,[20.75109102],[0.0484973],[0.04981131],[0.77126971],[0.16333094],[0.01657367],[0.03695081],[0.01257792]
17,[20.69222916],[0.0456599],[0.04697036],[0.77188869],[0.16018279],[0.01382266],[0.03414466],[0.01037215]
18,[20.40702481],[0.03191181],[0.03320504],[0.77488785],[0.14492898],[0.00049316],[0.02054797],[0.00806605]
19,[19.86829202],[0.00594254],[0.00720322],[0.78055306],[0.1161155],[0.02468542],[0.00513531],[0.01025358]
20,[20.57075746],[0.03980443],[0.04110755],[0.77316607],[0.15368602],[0.00814548],[0.02835368],[0.01236062]
21,[20.64746553],[0.0435021],[0.04480985],[0.77235942],[0.15778866],[0.01173056],[0.03201062],[0.01158233]
22,[20.61103568],[0.04174602],[0.04305157],[0.77274251],[0.15584025],[0.01002795],[0.03027388],[0.00856261]
23,[20.41255548],[0.03217841],[0.03347197],[0.77482969],[0.14522478],[0.00075164],[0.02081163],[0.00734725]
24,[19.90866113],[0.00788851],[0.00915163],[0.78012854],[0.1182746],[0.0227987],[0.00321078],[0.00627267]
25,[20.3562727],[0.02946533],[0.0307555],[0.77542155],[0.14221456],[0.00187883],[0.01812844],[0.00982863]
26,[20.51804348],[0.03726339],[0.03856333],[0.7737204],[0.15086668],[0.0056818],[0.02584062],[0.01183235]
27,[20.51259586],[0.03700079],[0.0383004],[0.77377768],[0.15057532],[0.0054272],[0.02558091],[0.01012637]
28,[20.32811859],[0.02810818],[0.02939665],[0.77571761],[0.14070877],[0.00319466],[0.01678623],[0.00553239]
29,[19.80435235],[0.00286037],[0.00411719],[0.78122543],[0.11269577],[0.02767375],[0.00818354],[0.00031705]
30,[20.15740537],[0.01987906],[0.02115721],[0.7775128],[0.13157838],[0.01117323],[0.00864773],[0.00969555]
31,[20.28754359],[0.02615229],[0.0274383],[0.77614429],[0.13853867],[0.005091],[0.01485188],[0.01177037]
32,[20.36019775],[0.02965454],[0.03094494],[0.77538027],[0.14242449],[0.00169538],[0.01831556],[0.01252676]
