,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.08495705],[0.01454044],[0.02788086],[0.76686206],[0.17919678],[0.01119216],[0.0084409],[0.01389037]
1,[0.07777293],[0.00884608],[0.02464272],[0.7650504],[0.18112173],[0.02557582],[0.00821466],[0.00905052]
2,[0.07387229],[0.00512033],[0.02252706],[0.7636063],[0.1807371],[0.0392158],[0.00425315],[0.00356776]
3,[0.08386917],[0.01486143],[0.03242399],[0.76529095],[0.1645059],[0.0397812],[0.00206575],[0.0104944]
4,[0.08103696],[0.00945321],[0.02598427],[0.76331187],[0.16633279],[0.05709132],[0.01384545],[0.00207929]
5,[0.08216068],[0.00703975],[0.02095083],[0.76200129],[0.16474489],[0.07180297],[0.01283683],[0.00139192]
6,[0.07088803],[0.0100141],[3.05494569e-05],[0.7571392],[0.18040854],[0.10276529],[0.01894655],[0.00960608]
7,[0.08600166],[0.00054969],[0.00507993],[0.75889734],[0.16394175],[0.1035971],[0.0111022],[0.00037854]
8,[0.09856214],[0.00750503],[0.00576113],[0.7597937],[0.15193016],[0.10792653],[0.01520009],[0.00093153]
9,[0.10470525],[0.00662021],[0.00200178],[0.75880118],[0.1492279],[0.12050299],[0.01445132],[0.00192318]
10,[0.11389599],[0.00840992],[0.00740671],[0.75846998],[0.14362311],[0.12950813],[0.0134823],[0.00309098]
11,[0.12267612],[0.00914294],[0.01397655],[0.75790048],[0.13943413],[0.13907484],[0.01579614],[0.0017933]
12,[0.05686431],[0.01953645],[0.00855384],[0.75915922],[0.22505645],[0.03861556],[0.01790944],[0.01575029]
13,[0.12415714],[0.0010319],[0.02957404],[0.7551867],[0.14557888],[0.15822683],[0.02084291],[0.01353481]
14,[0.05643764],[0.02568269],[0.01732122],[0.75792543],[0.23757541],[0.03835943],[0.00838247],[0.02255282]
15,[0.13715074],[0.00557125],[0.0319464],[0.75559624],[0.13738952],[0.16207735],[0.02286144],[0.00492372]
16,[0.14626438],[0.00531835],[0.03895339],[0.75485957],[0.13487433],[0.1708229],[0.02119564],[0.00282762]
