,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[0.22945483],[0.01134861],[0.00670279],[0.76535173],[0.174764],[0.03188575],[0.012452],[0.00072067]
1,[0.24526655],[0.01920687],[0.00271069],[0.76779542],[0.17586978],[0.01643507],[0.00849241],[0.01438715]
2,[0.21792031],[0.00374366],[0.01617845],[0.76224567],[0.16395906],[0.06960424],[0.00976193],[0.00363603]
3,[0.22963897],[0.01785699],[0.02404237],[0.76626488],[0.15696078],[0.03734443],[0.01110541],[0.00080266]
4,[0.21782487],[0.00371718],[0.00571874],[0.75948529],[0.15950496],[0.10860861],[0.01628041],[0.00488285]
5,[0.21456185],[0.01334322],[0.02436545],[0.75979933],[0.20946395],[0.05336674],[0.01795132],[0.02362455]
6,[0.21900005],[0.00186298],[0.00305601],[0.76278386],[0.18085539],[0.04732563],[0.01780266],[0.01494322]
7,[0.26541984],[0.02613116],[0.00072375],[0.76991893],[0.17806827],[0.00465074],[0.00992676],[0.02287943]
8,[0.2262271],[0.01454661],[0.02456523],[0.76515109],[0.1560171],[0.04891339],[0.00262042],[0.0019062]
9,[0.20768312],[0.01071207],[0.00251535],[0.75846182],[0.17623127],[0.09519408],[0.01296935],[0.00851978]
10,[0.23063769],[0.00329764],[0.00405989],[0.76055552],[0.14368321],[0.12137704],[0.01340954],[0.00219926]
11,[0.23415494],[0.00426518],[0.02639388],[0.76250231],[0.20942554],[0.03828185],[0.00135625],[0.00587122]
12,[0.22373078],[0.00048108],[0.00507178],[0.75994932],[0.1517903],[0.11547123],[0.01426117],[0.00343591]
13,[0.23646726],[0.00148383],[0.01190906],[0.75883689],[0.14223336],[0.14576529],[0.00840222],[0.00644686]
14,[0.23644376],[0.00499181],[0.00036899],[0.76067351],[0.13819272],[0.12916223],[0.00332537],[0.0051652]
15,[0.20768312],[0.01071207],[0.00251535],[0.75846182],[0.17623127],[0.09519408],[0.01296935],[0.00851978]
16,[0.23189602],[0.02237923],[0.04503245],[0.75327392],[0.15979556],[0.18684727],[0.02712539],[0.01091371]
17,[0.23832182],[0.00615846],[0.0225625],[0.75744337],[0.14438238],[0.15985545],[0.01653399],[0.00061041]
18,[0.23127574],[0.01695058],[0.02875073],[0.76475199],[0.1397363],[0.07543069],[0.00439908],[0.01884533]
