,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
0,[118055.84580304],[0.00602192],[0.02797441],[0.76427601],[0.20481279],[0.00830746],[0.00621349],[0.00320124]
1,[116627.95936665],[0.00461739],[0.02993182],[0.7642558],[0.19869008],[0.01799924],[0.00672692],[0.00444442]
2,[115212.39399564],[0.00508588],[0.02890282],[0.76360577],[0.19484792],[0.03064969],[0.010916],[0.00147679]
3,[113540.79081358],[0.00494944],[0.02699364],[0.76294341],[0.1903541],[0.04355428],[0.01312391],[0.00037709]
4,[111557.90886749],[0.00350256],[0.02478119],[0.76246959],[0.18440702],[0.05567061],[0.01460537],[0.00087291]
5,[109535.52430476],[0.00297479],[0.02017231],[0.7616874],[0.17966598],[0.06901659],[0.0177636],[0.00248838]
6,[107225.17783136],[0.00091308],[0.01577225],[0.76120527],[0.1732601],[0.0806997],[0.01691524],[0.00248499]
7,[104744.10548397],[0.00184789],[0.01108271],[0.7608504],[0.16619593],[0.09132653],[0.01673315],[0.00413328]
8,[102485.98950419],[0.00170217],[0.00284406],[0.75977658],[0.16269015],[0.10467261],[0.02138467],[0.00679365]
9,[99500.02441973],[0.00809911],[0.00080858],[0.76027462],[0.15174577],[0.11013952],[0.01848727],[0.00695291]
10,[96956.42345509],[0.00973066],[0.00608162],[0.75963372],[0.14652599],[0.12019054],[0.02139645],[0.003965]
11,[94330.90986175],[0.01188611],[0.01232193],[0.75913931],[0.14087775],[0.12890162],[0.01907939],[0.00702858]
12,[91511.96218881],[0.01594883],[0.01631772],[0.75914019],[0.13321227],[0.13463997],[0.01778745],[0.00862188]
13,[86397.28236056],[0.01844716],[0.02890958],[0.75787553],[0.12488989],[0.15030076],[0.02012707],[0.00748341]
14,[119513.10489906],[0.00955648],[0.02320058],[0.76356766],[0.21351834],[0.00184323],[0.00815628],[0.00839972]
15,[88929.44598211],[0.01746298],[0.0225544],[0.75855377],[0.12866253],[0.1425311],[0.01801348],[0.00307071]
16,[83689.11557541],[0.02161371],[0.03249427],[0.75777923],[0.11878452],[0.15478717],[0.01935299],[0.00506275]
