topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
2,88,352,704,1408,3904,11,16,0.0001726,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.681733
2,88,352,704,1408,3904,11,16,0.0001726,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.583851
2,88,352,704,1408,3904,11,16,0.0001726,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.68381
2,88,352,704,1408,3904,11,16,0.0001726,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.746389
2,88,352,704,1408,3904,11,16,0.0001726,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.910732
2,88,352,704,1408,3904,11,16,0.0002441,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.672833
2,88,352,704,1408,3904,11,16,0.0002441,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.563875
2,88,352,704,1408,3904,11,16,0.0002441,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.648196
2,88,352,704,1408,3904,11,16,0.0002441,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.692849
2,88,352,704,1408,3904,11,16,0.0002441,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.823533
2,88,352,704,1408,3904,11,16,0.0003453,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.682009
2,88,352,704,1408,3904,11,16,0.0003453,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.558724
2,88,352,704,1408,3904,11,16,0.0003453,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.631746
2,88,352,704,1408,3904,11,16,0.0003453,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.660068
2,88,352,704,1408,3904,11,16,0.0003453,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.761126
2,88,352,704,1408,3904,11,16,0.0004883,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.689489
2,88,352,704,1408,3904,11,16,0.0004883,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.561244
2,88,352,704,1408,3904,11,16,0.0004883,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.620516
2,88,352,704,1408,3904,11,16,0.0004883,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.638025
2,88,352,704,1408,3904,11,16,0.0004883,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.721344
2,88,352,704,1408,3904,11,16,0.0006905,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.70273
2,88,352,704,1408,3904,11,16,0.0006905,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.566739
2,88,352,704,1408,3904,11,16,0.0006905,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.61769
2,88,352,704,1408,3904,11,16,0.0006905,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.628706
2,88,352,704,1408,3904,11,16,0.0006905,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.696072
2,88,352,704,1408,3904,11,16,0.0009766,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.712164
2,88,352,704,1408,3904,11,16,0.0009766,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.581141
2,88,352,704,1408,3904,11,16,0.0009766,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.639044
2,88,352,704,1408,3904,11,16,0.0009766,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.637012
2,88,352,704,1408,3904,11,16,0.0009766,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.694012
2,88,352,704,1408,3904,11,16,0.001381,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.729548
2,88,352,704,1408,3904,11,16,0.001381,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.602671
2,88,352,704,1408,3904,11,16,0.001381,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.661749
2,88,352,704,1408,3904,11,16,0.001381,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.65369
2,88,352,704,1408,3904,11,16,0.001381,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.708904
2,88,352,704,1408,3904,11,16,0.001953,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.745601
2,88,352,704,1408,3904,11,16,0.001953,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.640104
2,88,352,704,1408,3904,11,16,0.001953,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.692178
2,88,352,704,1408,3904,11,16,0.001953,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.686599
2,88,352,704,1408,3904,11,16,0.001953,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.747428
2,88,352,704,1408,3904,11,16,0.002762,32,30517,1,2150612992,232579072,1949122560,45056,2000000000,2.758219
2,88,352,704,1408,3904,11,16,0.002762,64,15258,1,2150612992,232579072,1949122560,45056,2000000000,2.648238
2,88,352,704,1408,3904,11,16,0.002762,128,7629,1,2150612992,232579072,1949122560,45056,2000000000,2.718185
2,88,352,704,1408,3904,11,16,0.002762,256,3814,1,2150612992,232579072,1949122560,45056,2000000000,2.747819
2,88,352,704,1408,3904,11,16,0.002762,512,1907,1,2150612992,232579072,1949122560,45056,2000000000,2.831924
2,88,352,704,1408,3904,11,16,0.0001726,32,61035,1,2150612992,232579072,1949122560,45056,4000000000,2.471974
2,88,352,704,1408,3904,11,16,0.0001726,64,30517,1,2150612992,232579072,1949122560,45056,4000000000,2.5185
2,88,352,704,1408,3904,11,16,0.0001726,128,15258,1,2150612992,232579072,1949122560,45056,4000000000,2.565999
2,88,352,704,1408,3904,11,16,0.0001726,256,7629,1,2150612992,232579072,1949122560,45056,4000000000,2.627241
2,88,352,704,1408,3904,11,16,0.0001726,512,3814,1,2150612992,232579072,1949122560,45056,4000000000,2.646527
2,88,352,704,1408,3904,11,16,0.0002441,32,61035,1,2150612992,232579072,1949122560,45056,4000000000,2.461445
2,88,352,704,1408,3904,11,16,0.0002441,64,30517,1,2150612992,232579072,1949122560,45056,4000000000,2.504986
2,88,352,704,1408,3904,11,16,0.0002441,128,15258,1,2150612992,232579072,1949122560,45056,4000000000,2.543986
2,88,352,704,1408,3904,11,16,0.0002441,256,7629,1,2150612992,232579072,1949122560,45056,4000000000,2.589571
2,88,352,704,1408,3904,11,16,0.0002441,512,3814,1,2150612992,232579072,1949122560,45056,4000000000,2.590874
2,88,352,704,1408,3904,11,16,0.0003453,32,61035,1,2150612992,232579072,1949122560,45056,4000000000,2.465627
2,88,352,704,1408,3904,11,16,0.0003453,64,30517,1,2150612992,232579072,1949122560,45056,4000000000,2.500331
2,88,352,704,1408,3904,11,16,0.0003453,128,15258,1,2150612992,232579072,1949122560,45056,4000000000,2.532066
2,88,352,704,1408,3904,11,16,0.0003453,256,7629,1,2150612992,232579072,1949122560,45056,4000000000,2.57017
2,88,352,704,1408,3904,11,16,0.0003453,512,3814,1,2150612992,232579072,1949122560,45056,4000000000,2.556833
2,88,352,704,1408,3904,11,16,0.0004883,32,61035,1,2150612992,232579072,1949122560,45056,4000000000,2.468325
2,88,352,704,1408,3904,11,16,0.0004883,64,30517,1,2150612992,232579072,1949122560,45056,4000000000,2.50494
